name,label,role_type,default_similarity,contrast_similarity,trait_score
symbiont,role,pos_2,0.9936752,-0.10482348,
researcher,role,pos_3,0.99361837,-0.029997693,
caregiver,role,pos_2,0.9935697,-0.076600775,
marketer,role,pos_2,0.99352515,-0.068807684,
researcher,role,pos_2,0.99344677,-0.04100353,
scientist,role,pos_2,0.9933437,-0.041220274,
technologist,role,pos_2,0.9933372,-0.0723677,
student,role,pos_3,0.99332523,-0.05763426,
emissary,role,pos_3,0.99332196,-0.09542742,
publisher,role,pos_2,0.99331564,-0.0494601,
archivist,role,pos_2,0.993229,-0.057814866,
strategist,role,pos_2,0.9932039,-0.05132515,
specialist,role,pos_3,0.9931439,-0.047821112,
architect,role,pos_2,0.99311745,-0.077262305,
advocate,role,pos_3,0.9930788,-0.10117696,
geographer,role,pos_2,0.9930771,-0.0539917,
trainer,role,pos_3,0.99300134,-0.06354302,
editor,role,pos_3,0.99299896,-0.042324867,
nutritionist,role,pos_2,0.99297184,-0.027203994,
accountant,role,pos_2,0.9929702,-0.037337366,
supervisor,role,pos_3,0.9929606,-0.02660485,
skeptic,role,pos_2,0.9929457,-0.052711297,
pharmacist,role,pos_2,0.9929132,-0.025605107,
futurist,role,pos_2,0.99284655,-0.066405356,
economist,role,pos_2,0.99279827,-0.04004634,
polymath,role,pos_2,0.9927858,-0.059010465,
validator,role,pos_3,0.9927396,-0.023379683,
curator,role,pos_3,0.99273944,-0.10998768,
auditor,role,pos_2,0.9926484,-0.034268428,
strategist,role,pos_3,0.9926078,-0.06084499,
designer,role,pos_2,0.99250203,-0.0882805,
evaluator,role,pos_3,0.9923846,-0.034996465,
dispatcher,role,pos_3,0.9923586,-0.059495658,
planner,role,pos_3,0.9923471,-0.036271814,
veterinarian,role,pos_2,0.99231386,-0.045869,
judge,role,pos_3,0.9923046,-0.052663866,
conservator,role,pos_2,0.99229044,-0.070943266,
biologist,role,pos_2,0.99228084,-0.05492196,
scientist,role,pos_3,0.9922789,-0.04215264,
activist,role,pos_2,0.99221855,-0.080460876,
writer,role,pos_3,0.9922164,-0.13461807,
chameleon,role,pos_2,0.9921929,-0.09620534,
merchant,role,pos_2,0.9921513,-0.09659364,
optimist,role,pos_2,0.9921461,-0.08311199,
producer,role,pos_3,0.9920838,-0.085177004,
secretary,role,pos_2,0.9919736,-0.038652916,
networker,role,pos_3,0.99196064,-0.087511316,
expatriate,role,pos_2,0.9918891,-0.054761637,
reporter,role,pos_2,0.99186796,-0.050159417,
analyst,role,pos_2,0.99185276,-0.04220786,
builder,role,pos_2,0.9917222,-0.096027486,
detective,role,pos_3,0.9915943,-0.110847615,
cartographer,role,pos_2,0.9915375,-0.098008096,
critic,role,pos_3,0.99152523,-0.10066161,
witness,role,pos_3,0.9914985,-0.1205947,
forecaster,role,pos_3,0.9914923,-0.06335006,
empath,role,pos_2,0.9914821,-0.106127694,
guardian,role,pos_3,0.9914044,-0.11687268,
recruiter,role,pos_3,0.991332,-0.06534215,
idealist,role,pos_2,0.9912284,-0.12060347,
translator,role,pos_2,0.99103504,-0.056013424,
polymath,role,pos_3,0.9909949,-0.08260235,
podcaster,role,pos_2,0.9909404,-0.11834263,
scholar,role,pos_3,0.990915,-0.056156147,
secretary,role,pos_3,0.9908644,-0.035731036,
naturalist,role,pos_2,0.99083847,-0.091509156,
historian,role,pos_2,0.99079204,-0.06455921,
technologist,role,pos_3,0.99073493,-0.08941044,
engineer,role,pos_3,0.99064004,-0.064003415,
psychologist,role,pos_3,0.99054146,-0.052843537,
editor,role,pos_2,0.9905062,-0.04814564,
parent,role,pos_2,0.99049675,-0.06532141,
robot,role,pos_2,0.9904611,-0.046613824,
hive,role,pos_2,0.99045706,-0.09185967,
entrepreneur,role,pos_2,0.99038285,-0.0856088,
pacifist,role,pos_2,0.990366,-0.09034029,
screener,role,pos_2,0.9902693,-0.027287763,
navigator,role,pos_3,0.9900852,-0.1206706,
vegan,role,pos_2,0.99008185,-0.06922853,
altruist,role,pos_3,0.9900799,-0.0976768,
lawyer,role,pos_2,0.99004847,-0.04180224,
patient,role,pos_2,0.9900236,-0.059741795,
cosmopolitan,role,pos_3,0.98993134,-0.12800018,
pilot,role,pos_2,0.9898676,-0.07199791,
expatriate,role,pos_3,0.9898551,-0.10131813,
programmer,role,pos_2,0.9897836,-0.08690406,
statistician,role,pos_2,0.98960406,-0.058720473,
examiner,role,pos_3,0.9895594,-0.03942296,
builder,role,pos_3,0.98951,-0.12887506,
designer,role,pos_3,0.98936546,-0.10386508,
divorcee,role,pos_2,0.9892508,-0.08591769,
prodigy,role,pos_3,0.9891709,-0.15297459,
newlywed,role,pos_2,0.9890816,-0.069855675,
archaeologist,role,pos_2,0.989078,-0.099518,
perfectionist,role,pos_3,0.9890742,-0.12506199,
student,role,pos_2,0.989017,-0.05377353,
debugger,role,pos_3,0.98901623,-0.06531326,
linguist,role,pos_2,0.9889745,-0.06681818,
anthropologist,role,pos_2,0.9889354,-0.05896056,
scheduler,role,pos_3,0.9888799,-0.058268063,
fixer,role,pos_2,0.98886395,-0.124536514,
hybrid,role,pos_3,0.9888311,-0.13716222,
influencer,role,pos_2,0.98871183,-0.08719809,
refugee,role,pos_2,0.98866355,-0.057293348,
competitor,role,pos_2,0.98863876,-0.12595046,
devils_advocate,role,pos_2,0.98863536,-0.10813109,
zeitgeist,role,pos_2,0.98863524,-0.14316335,
soldier,role,pos_2,0.9884684,-0.09132924,
ecosystem,role,pos_3,0.9884599,-0.12298245,
archivist,role,pos_3,0.9884077,-0.09530991,
cyborg,role,pos_3,0.98840654,-0.12710908,
marketer,role,pos_3,0.9883469,-0.07331566,
chemist,role,pos_2,0.9883446,-0.082736865,
workaholic,role,pos_2,0.98833567,-0.1254817,
prisoner,role,pos_2,0.9882844,-0.06737116,
sociologist,role,pos_3,0.9881836,-0.05988713,
improviser,role,pos_2,0.9881527,-0.12744398,
skeptic,role,pos_3,0.98810476,-0.07843612,
physicist,role,pos_2,0.9880343,-0.09632319,
entrepreneur,role,pos_3,0.98794526,-0.11289526,
immigrant,role,pos_2,0.9878788,-0.05800747,
paramedic,role,pos_3,0.9878034,-0.073142864,
artisan,role,pos_2,0.987774,-0.15144973,
traditionalist,role,pos_2,0.987628,-0.109377906,
mechanic,role,pos_2,0.9875864,-0.1084181,
scout,role,pos_3,0.9875719,-0.14724274,
architect,role,pos_3,0.9874633,-0.08950384,
minimalist,role,pos_2,0.98744,-0.124857046,
destroyer,role,pos_2,0.9873511,-0.14642005,
survivor,role,pos_2,0.9873303,-0.120448805,
blogger,role,pos_3,0.9872975,-0.13979413,
loner,role,pos_2,0.98727506,-0.12399946,
dilettante,role,pos_2,0.98724633,-0.13639668,
veterinarian,role,pos_3,0.9872438,-0.0661409,
visionary,role,pos_2,0.98718596,-0.15664223,
auctioneer,role,pos_2,0.98709726,-0.12514164,
provincial,role,pos_2,0.9870853,-0.102639005,
collector,role,pos_3,0.98703265,-0.14417133,
accountant,role,pos_3,0.98692644,-0.04292525,
futurist,role,pos_3,0.98684597,-0.097242124,
counselor,role,pos_3,0.98683816,-0.08494737,
amateur,role,pos_2,0.986682,-0.087810226,
novelist,role,pos_2,0.98664,-0.16553394,
chef,role,pos_2,0.986632,-0.1144129,
programmer,role,pos_3,0.9866067,-0.095679246,
caregiver,role,pos_3,0.9865749,-0.10134803,
pharmacist,role,pos_3,0.9863914,-0.042502053,
playwright,role,pos_2,0.9863295,-0.15120837,
spy,role,pos_2,0.98631847,-0.11949731,
graduate,role,pos_3,0.9862783,-0.110705666,
biologist,role,pos_3,0.9860459,-0.081330016,
nutritionist,role,pos_3,0.9858644,-0.038840793,
chameleon,role,pos_3,0.98583513,-0.16592497,
parent,role,pos_3,0.98576754,-0.10301167,
symbiont,role,pos_3,0.985656,-0.15133941,
cartographer,role,pos_3,0.98558027,-0.11896319,
purist,role,pos_2,0.98557764,-0.1318541,
mathematician,role,pos_2,0.9854995,-0.10095033,
assistant,role,pos_2,0.985293,-0.057425532,
therapist,role,pos_3,0.9852521,-0.083365455,
auditor,role,pos_3,0.9850856,-0.042338658,
economist,role,pos_3,0.98503315,-0.04879915,
grader,role,pos_3,0.9849928,-0.047681894,
photographer,role,pos_2,0.98498017,-0.1418868,
screener,role,pos_3,0.98493767,-0.043658126,
theorist,role,pos_3,0.9848474,-0.09710628,
interviewer,role,pos_3,0.98457974,-0.0786366,
statistician,role,pos_3,0.98455167,-0.059714813,
optimist,role,pos_3,0.98420256,-0.11606363,
pacifist,role,pos_3,0.9841612,-0.09748118,
tulpa,role,pos_3,0.9840582,-0.18053392,
saboteur,role,pos_2,0.98403203,-0.12622,
orphan,role,pos_2,0.9840303,-0.12186265,
podcaster,role,pos_3,0.9838597,-0.15836094,
conservator,role,pos_3,0.9835361,-0.11111379,
merchant,role,pos_3,0.98340565,-0.16632803,
lawyer,role,pos_3,0.98340136,-0.030811489,
revolutionary,role,pos_2,0.98335975,-0.13843967,
historian,role,pos_3,0.98325616,-0.08448024,
composer,role,pos_2,0.9829921,-0.14358844,
widow,role,pos_2,0.9829699,-0.10680399,
healer,role,pos_3,0.98278356,-0.13862132,
pilot,role,pos_3,0.9827732,-0.09143135,
anthropologist,role,pos_3,0.9827061,-0.091031,
chemist,role,pos_3,0.9824569,-0.09921949,
musician,role,pos_2,0.98245543,-0.15953584,
geographer,role,pos_3,0.9823069,-0.07621383,
dilettante,role,pos_3,0.98221636,-0.17177953,
wanderer,role,pos_2,0.98218507,-0.18928906,
veteran,role,pos_3,0.9821828,-0.13724653,
naturalist,role,pos_3,0.98207015,-0.14157471,
activist,role,pos_3,0.98188895,-0.11012078,
retiree,role,pos_3,0.98179066,-0.14711647,
mechanic,role,pos_3,0.9817748,-0.13464603,
physicist,role,pos_3,0.9816884,-0.11246324,
robot,role,pos_3,0.98163,-0.07102375,
amateur,role,pos_3,0.9815835,-0.116336785,
hacker,role,pos_2,0.98150927,-0.14148845,
martyr,role,pos_2,0.9813072,-0.17095816,
visionary,role,pos_3,0.980963,-0.18292576,
anarchist,role,pos_2,0.98053247,-0.1415915,
immigrant,role,pos_3,0.98052716,-0.15026519,
influencer,role,pos_3,0.98050654,-0.14271826,
minimalist,role,pos_3,0.9804316,-0.13836996,
addict,role,pos_2,0.9803215,-0.12889986,
prey,role,pos_2,0.98020405,-0.18049262,
patient,role,pos_3,0.9801729,-0.115637176,
vegan,role,pos_3,0.9801576,-0.08686672,
predator,role,pos_2,0.98009926,-0.18618965,
devils_advocate,role,pos_3,0.98004407,-0.15997772,
archaeologist,role,pos_3,0.97980136,-0.13829064,
sommelier,role,pos_2,0.97964704,-0.13460225,
criminal,role,pos_2,0.97950834,-0.15947151,
chef,role,pos_3,0.9794502,-0.14814906,
linguist,role,pos_3,0.9793271,-0.09133773,
nomad,role,pos_3,0.97932696,-0.19530618,
bartender,role,pos_2,0.9791979,-0.1347017,
vigilante,role,pos_2,0.97892964,-0.1674333,
idealist,role,pos_3,0.9787231,-0.18249516,
hive,role,pos_3,0.978445,-0.16805704,
virtuoso,role,pos_3,0.9784291,-0.20916618,
maverick,role,pos_2,0.97823256,-0.1892267,
virus,role,pos_2,0.97817767,-0.16219048,
contrarian,role,pos_2,0.9779797,-0.17387667,
empath,role,pos_3,0.97775954,-0.17573117,
refugee,role,pos_3,0.97755206,-0.16481529,
mathematician,role,pos_3,0.97755194,-0.110502824,
traditionalist,role,pos_3,0.9773757,-0.15136164,
destroyer,role,pos_3,0.97707087,-0.19537847,
purist,role,pos_3,0.97688305,-0.16776131,
swarm,role,pos_3,0.97680956,-0.18985003,
zeitgeist,role,pos_3,0.9766916,-0.2082506,
philosopher,role,pos_3,0.9764127,-0.15978132,
artisan,role,pos_3,0.9762493,-0.20233727,
celebrity,role,pos_3,0.9761459,-0.16384251,
newlywed,role,pos_3,0.97603875,-0.13398284,
hedonist,role,pos_2,0.9752332,-0.20112792,
divorcee,role,pos_3,0.97476083,-0.1519545,
workaholic,role,pos_3,0.9746064,-0.17918804,
soldier,role,pos_3,0.9746003,-0.17354938,
novelist,role,pos_3,0.9744421,-0.22459324,
smuggler,role,pos_2,0.9744302,-0.1629288,
photographer,role,pos_3,0.9743536,-0.19706884,
saboteur,role,pos_3,0.9742276,-0.18655926,
spy,role,pos_3,0.97380334,-0.18908459,
loner,role,pos_3,0.97316957,-0.19115318,
composer,role,pos_3,0.9726183,-0.18428524,
evangelist,role,pos_3,0.9720471,-0.22248384,
contrarian,role,pos_3,0.97191846,-0.19786717,
luddite,role,pos_2,0.97149605,-0.21493052,
playwright,role,pos_3,0.9713391,-0.21473321,
simulacrum,role,pos_2,0.9712393,-0.22783506,
improviser,role,pos_3,0.9710992,-0.20518957,
auctioneer,role,pos_3,0.9710496,-0.205105,
survivor,role,pos_3,0.9710256,-0.20877652,
fixer,role,pos_3,0.9708802,-0.21956855,
provincial,role,pos_3,0.9707547,-0.19615462,
competitor,role,pos_3,0.970302,-0.20129915,
musician,role,pos_3,0.9699333,-0.21139419,
sommelier,role,pos_3,0.9696923,-0.17283624,
translator,role,pos_3,0.9695753,-0.061350986,
shapeshifter,role,pos_3,0.96941835,-0.24449563,
actor,role,pos_3,0.96921396,-0.23404929,
hoarder,role,pos_2,0.9683773,-0.1938652,
elder,role,pos_3,0.9681282,-0.23761135,
orphan,role,pos_3,0.9680131,-0.19912146,
maverick,role,pos_3,0.96795446,-0.22462575,
hacker,role,pos_3,0.96779907,-0.20563944,
sage,role,pos_3,0.96704006,-0.23948185,
hedonist,role,pos_3,0.9668715,-0.22079644,
anarchist,role,pos_3,0.9665448,-0.1515522,
egregore,role,pos_3,0.9662273,-0.25050747,
procrastinator,role,pos_2,0.9649055,-0.13888781,
narrator,role,pos_3,0.96483976,-0.2627019,
vigilante,role,pos_3,0.96475405,-0.2190677,
stoic,role,pos_3,0.96425295,-0.18603843,
revolutionary,role,pos_3,0.9640841,-0.21124518,
widow,role,pos_3,0.9639331,-0.2122658,
daredevil,role,pos_2,0.9635408,-0.21511023,
bartender,role,pos_3,0.96348184,-0.20025706,
alien,role,pos_3,0.9631292,-0.25100338,
prisoner,role,pos_3,0.96259475,-0.19947508,
grandparent,role,pos_3,0.9625287,-0.19583225,
virus,role,pos_3,0.9623662,-0.22454754,
trickster,role,pos_2,0.96229494,-0.26545614,
guru,role,pos_3,0.9619621,-0.25927728,
martyr,role,pos_3,0.96171665,-0.24673332,
gamer,role,pos_3,0.9616525,-0.18991594,
addict,role,pos_3,0.9612789,-0.19562466,
proofreader,role,pos_3,0.9611551,-0.0659377,
provocateur,role,pos_2,0.9610192,-0.2394088,
parasite,role,pos_3,0.9609813,-0.24309641,
wanderer,role,pos_3,0.9606452,-0.27330044,
warrior,role,pos_3,0.9600428,-0.2558733,
proofreader,role,pos_2,0.9599074,-0.06556961,
romantic,role,pos_3,0.95976007,-0.24406047,
predator,role,pos_3,0.95947486,-0.25492522,
flaneur,role,pos_3,0.9591182,-0.27570182,
luddite,role,pos_3,0.95906603,-0.25161332,
ancient,role,pos_3,0.9589498,-0.2775546,
simulacrum,role,pos_3,0.95843494,-0.27048865,
rogue,role,pos_3,0.95713365,-0.26417223,
chimera,role,pos_3,0.9564915,-0.29060125,
familiar,role,pos_3,0.95643526,-0.2717696,
avatar,role,pos_3,0.95576835,-0.26901042,
rebel,role,pos_3,0.95538366,-0.2588145,
angel,role,pos_3,0.954891,-0.24547395,
homunculus,role,pos_3,0.9535328,-0.2838781,
exile,role,pos_3,0.95312274,-0.28768063,
pilgrim,role,pos_3,0.9530141,-0.26910248,
bohemian,role,pos_3,0.9522309,-0.29174417,
crystalline,role,pos_3,0.95126975,-0.24437277,
smuggler,role,pos_3,0.9510804,-0.2530817,
coral_reef,role,pos_3,0.950051,-0.26087004,
trickster,role,pos_3,0.9500151,-0.29375395,
hermit,role,pos_3,0.9499918,-0.29659003,
surfer,role,pos_3,0.9499112,-0.25465676,
provocateur,role,pos_3,0.9497909,-0.26918098,
whale,role,pos_3,0.94959074,-0.28898227,
hoarder,role,pos_3,0.94957185,-0.23911317,
dreamer,role,pos_3,0.9491716,-0.3001687,
fool,role,pos_2,0.94900316,-0.21316706,
spirit,role,pos_3,0.94885665,-0.28530487,
oracle,role,pos_3,0.94851214,-0.2960835,
prey,role,pos_3,0.9482269,-0.27600658,
mycorrhizal,role,pos_3,0.94803816,-0.26868576,
genie,role,pos_3,0.94787234,-0.30200368,
wind,role,pos_3,0.9474574,-0.2918119,
ascetic,role,pos_3,0.94662434,-0.28009927,
teenager,role,pos_3,0.9461336,-0.13592464,
cynic,role,pos_3,0.9456628,-0.23860228,
golem,role,pos_3,0.9451135,-0.29145005,
amnesiac,role,pos_3,0.9448046,-0.2770979,
adolescent,role,pos_3,0.9445903,-0.14204246,
echo,role,pos_3,0.9442582,-0.3140189,
zealot,role,pos_3,0.94399714,-0.27839565,
mystic,role,pos_3,0.94361246,-0.2868459,
shaman,role,pos_3,0.9432886,-0.277033,
ghost,role,pos_3,0.9432567,-0.31476253,
comedian,role,pos_2,0.94235283,-0.22388594,
daredevil,role,pos_3,0.94211566,-0.26966408,
criminal,role,pos_3,0.94185835,-0.27599922,
jester,role,pos_2,0.94030726,-0.2569772,
prophet,role,pos_3,0.94009316,-0.31891048,
witch,role,pos_3,0.93985605,-0.3072754,
bard,role,pos_3,0.93855935,-0.31856894,
fool,role,pos_3,0.93850815,-0.25972012,
revenant,role,pos_3,0.9383222,-0.3228715,
tree,role,pos_3,0.9370011,-0.30540442,
gossip,role,pos_3,0.93649095,-0.2365115,
narcissist,role,pos_3,0.9350656,-0.25441757,
void,role,pos_3,0.93362236,-0.3324688,
procrastinator,role,pos_3,0.93164414,-0.19134691,
vampire,role,pos_3,0.93161815,-0.32835886,
jester,role,pos_3,0.931146,-0.31502193,
absurdist,role,pos_3,0.9300526,-0.3145322,
demon,role,pos_3,0.92980164,-0.33669943,
aberration,role,pos_3,0.92946583,-0.34492728,
wraith,role,pos_3,0.92936456,-0.3404853,
eldritch,role,pos_3,0.92635256,-0.34798294,
comedian,role,pos_3,0.9198153,-0.25383252,
pirate,role,pos_3,0.9186186,-0.30915895,
leviathan,role,pos_3,0.9174244,-0.3545769,
caveman,role,pos_3,0.90659255,-0.29096484,
poet,role,pos_3,0.90431327,-0.34632358,
toddler,role,pos_3,0.89663893,-0.19299982,
infant,role,pos_3,0.8756751,-0.22222008,
pensive,trait,,0.67028624,-0.19238068,91.3
educational,trait,,0.617347,0.035930354,93.5
meticulous,trait,,0.6045916,0.0918861,87.225
earnest,trait,,0.60319823,0.15900473,88.235
generous,trait,,0.57442534,-0.1841591,92.475
calculating,trait,,0.56380147,0.09121913,91.175
circumspect,trait,,0.55470383,-0.045021772,83.9
analytical,trait,,0.55448055,0.25345194,93.375
strategic,trait,,0.55252725,0.046586327,92.025
solemn,trait,,0.5443207,0.22573455,90.05
proactive,trait,,0.53970253,-0.08659215,88.15
verbose,trait,,0.53495234,-0.25040588,85.875
transparent,trait,,0.53010595,0.4605425,94.9
patient,trait,,0.52456677,0.35193837,99.275
exploratory,trait,,0.51670545,-0.1339631,88.725
generalist,trait,,0.5052745,-0.18393251,79.3
conscientious,trait,,0.50232774,0.27531168,92.125
perfectionist,trait,,0.50214505,0.011408524,84.035
holistic,trait,,0.5018053,-0.2596369,89.925
methodical,trait,,0.49557197,0.4709825,94.0
serious,trait,,0.4731598,0.31031907,91.65
introspective,trait,,0.47309044,-0.49878213,74.85
calm,trait,,0.473085,0.55397797,95.175
formal,trait,,0.45334467,0.22910197,91.175
big_picture,trait,,0.44085982,-0.23434073,87.8
factual,trait,,0.4402032,0.5037025,93.9
cautious,trait,,0.43921593,0.17417139,93.825
systems_thinker,trait,,0.43245533,-0.28913003,78.75
tactful,trait,,0.43127382,0.31960493,95.545
introverted,trait,,0.42837226,-0.032926492,36.2
resilient,trait,,0.4253737,0.3481258,90.425
diplomatic,trait,,0.4113549,0.5309451,92.675
divergent,trait,,0.41033363,-0.2986229,90.625
moderate,trait,,0.40751925,0.5703881,93.425
serene,trait,,0.402436,0.16668619,87.75
supportive,trait,,0.40001214,0.16395308,97.0
interdisciplinary,trait,,0.37846565,-0.34411502,80.575
curious,trait,,0.37766668,-0.33630413,58.8
problem_solving,trait,,0.37037462,0.07954917,93.25
agreeable,trait,,0.3697542,0.42370164,90.0
structuralist,trait,,0.36784366,0.16924317,90.05
reverent,trait,,0.3551661,0.008127614,72.65
conciliatory,trait,,0.35351473,0.5593785,94.8
ritualistic,trait,,0.3312792,-0.028325308,87.65
formalist,trait,,0.32971248,0.28659207,89.325
stoic,trait,,0.32412618,0.34209317,82.025
nurturing,trait,,0.3161988,0.05826959,94.125
adaptable,trait,,0.31583354,0.023951424,89.025
cosmopolitan,trait,,0.3150193,0.12296322,93.2
meditative,trait,,0.30097544,-0.20874158,80.575
eloquent,trait,,0.3000767,-0.6223649,77.51
speculative,trait,,0.2946565,-0.63715726,84.15
philosophical,trait,,0.28966448,-0.6813451,73.8
erudite,trait,,0.28475657,-0.16610967,77.85
qualitative,trait,,0.2792529,-0.49639755,76.075
secular,trait,,0.2788549,0.34504798,92.975
constructivist,trait,,0.27371377,-0.41839504,84.425
utilitarian,trait,,0.2657912,0.18882176,60.475
open_ended,trait,,0.26064196,-0.24351366,89.3
accessible,trait,,0.25744686,0.048305742,87.275
pedantic,trait,,0.2508377,-0.17793393,24.975
technical,trait,,0.22672981,0.003424121,86.55
abstract,trait,,0.2221113,-0.29070687,86.775
deconstructionist,trait,,0.22191119,-0.5732293,31.45
conceptual,trait,,0.2041484,-0.2843585,89.675
reserved,trait,,0.20035905,0.5551547,77.825
benevolent,trait,,0.19908716,0.19144188,94.78
flexible,trait,,0.19241771,0.33603638,94.275
dispassionate,trait,,0.18869047,0.5102602,81.71717171717172
futuristic,trait,,0.18644208,-0.33571303,55.525
traditional,trait,,0.16986813,0.46115497,71.225
relativist,trait,,0.16330995,-0.42242607,69.575
humanistic,trait,,0.158441,-0.07577549,91.225
egalitarian,trait,,0.15826377,-0.15180911,88.0
skeptical,trait,,0.15634315,-0.27479452,87.275
chill,trait,,0.15585999,0.42845348,71.45
inclusive,trait,,0.1557455,-0.13910607,81.25
rationalist,trait,,0.14895944,0.44033998,88.65
critical,trait,,0.14838979,-0.4678388,58.625
elitist,trait,,0.1481618,-0.41567814,0.625
collectivistic,trait,,0.1469337,0.06049075,86.525
theoretical,trait,,0.14519529,-0.2673436,78.975
eclectic,trait,,0.14376621,-0.54731524,82.2
specialized,trait,,0.14340302,-0.17358474,87.0
regulatory,trait,,0.13216607,0.45528975,84.65
pluralist,trait,,0.13162944,0.21578538,88.975
detached,trait,,0.1155798,0.44077134,41.05
inquisitive,trait,,0.11154639,-0.2259119,69.225
pessimistic,trait,,0.110251725,-0.2466903,28.775
descriptive,trait,,0.110178605,0.49017355,94.375
paranoid,trait,,0.10857547,-0.52178144,2.55
