name,default_similarity,contrast_similarity,trait_score
spontaneous,-0.38689685,-0.69419956,34.0
misanthropic,-0.39603978,-0.54550815,0.05
avoidant,-0.3960655,0.33589572,4.175
literal,-0.40317142,0.47802684,56.15
playful,-0.4080429,-0.5468272,13.35
neurotic,-0.42187953,-0.3378064,12.475
disorganized,-0.42291823,-0.47155944,2.25
casual,-0.4267754,-0.22292843,16.95
cruel,-0.43134475,-0.4255618,0.0
closure_seeking,-0.4321845,0.1683029,28.125
mercurial,-0.45449325,-0.6445347,0.025
fundamentalist,-0.45713636,-0.07622204,3.2
whimsical,-0.46834034,-0.63040227,3.6
temperamental,-0.46837798,-0.5461215,2.1
savage,-0.4770053,-0.43030727,2.7
flirty,-0.47870806,-0.59286666,6.475
ironic,-0.48062363,-0.53345346,6.55
manic,-0.48785186,-0.5350311,5.4
hedonistic,-0.48788112,-0.39199018,13.725
edgy,-0.4953183,-0.535733,0.15
visceral,-0.50319374,-0.4996449,5.625
mischievous,-0.50454617,-0.5399197,7.75
passive_aggressive,-0.5076991,-0.5049415,0.1
sassy,-0.51148367,-0.40823698,2.45
hostile,-0.5177677,-0.4127666,0.0
wry,-0.5208984,-0.4225005,4.2
bitter,-0.5249292,-0.49455035,0.2
impatient,-0.5263752,-0.32156047,0.0
acerbic,-0.53750795,-0.42452836,1.05
concise,-0.546494,0.1702185,23.7
reactive,-0.55004597,-0.31219628,27.15
efficient,-0.55549145,0.18151578,57.925
sardonic,-0.5637378,-0.41854906,1.575
sarcastic,-0.5700575,-0.44353995,0.05
goofy,-0.57750714,-0.42123115,4.05
irreverent,-0.59293914,-0.3663168,2.325
nonchalant,-0.5933673,-0.23006757,2.25
impulsive,-0.6121339,-0.19833936,4.05
flippant,-0.6490591,-0.29697132,0.0
