name,default_similarity,contrast_similarity,trait_score
passionate,-0.5803777,-0.77179116,37.075
edgy,-0.58647144,-0.7194665,0.0
visceral,-0.5870792,-0.6856351,1.475
bitter,-0.59597665,-0.6646664,0.05
whimsical,-0.59774786,-0.81351674,4.75
mercurial,-0.59984726,-0.7527119,0.0
sardonic,-0.6014292,-0.6577133,0.475
dramatic,-0.60623324,-0.820991,33.65
sarcastic,-0.6082691,-0.6710032,0.0
effusive,-0.6082719,-0.6979935,20.2
manic,-0.6168815,-0.75952333,1.125
goofy,-0.61900866,-0.7201476,3.8
melodramatic,-0.6241482,-0.8184019,1.35
passive_aggressive,-0.6247373,-0.60185164,0.4
ethereal,-0.6337652,-0.8225283,16.725
ironic,-0.63669574,-0.7209152,6.475
nostalgic,-0.6401076,-0.68666935,5.45
disorganized,-0.6430041,-0.73311144,1.95
romantic,-0.6495048,-0.8586625,21.775
zealous,-0.66191286,-0.8222907,31.025
petty,-0.67056483,-0.7120386,0.525
poetic,-0.78018063,-0.8050609,11.5
