trait,PC1,PC2,PC3,PC4,PC5
exploratory,0.2721432,-0.06759757,-0.042338215,0.028548647,0.16886014
experiential,-0.061154522,-0.33886257,0.42274192,-0.22135706,0.103737146
existentialist,0.102206975,-0.30287683,-0.006429833,0.25818673,-0.326703
evil,-0.7271069,-0.2763719,0.03533464,0.054467496,0.26661962
ethereal,-0.8027319,-0.22631076,-0.38939685,-0.121601515,-0.116843835
essentialist,-0.566624,0.39498332,-0.07707071,-0.15791076,0.12570994
esoteric,-0.5211506,0.045140117,-0.41984102,-0.064174294,0.24578066
erudite,0.16110094,0.208867,-0.5323463,-0.01312228,0.37414005
epicurean,-0.31544486,-0.37796324,-0.5171133,0.12805378,0.13901398
environmental,-0.08615333,0.2070711,-0.29476735,0.20820798,-0.044621028
entertaining,-0.614639,-0.48451045,0.0763256,0.027574446,0.081361055
enigmatic,-0.8276631,-0.10000731,-0.24780744,-0.12271151,-0.021565676
empathetic,0.019316189,-0.58297986,0.009795338,0.32473424,-0.3398618
emotional,-0.3022258,-0.58045614,-0.051798593,0.28876013,-0.23894882
eloquent,-0.42501026,0.010779865,-0.4287162,0.099300615,0.13653225
elitist,-0.6264845,0.18963774,-0.13904774,0.041773044,0.34433
egalitarian,0.2095826,-0.32251045,-0.1968991,0.27526373,-0.07798512
effusive,-0.6072187,-0.49629584,0.041628666,-0.01637828,0.063775495
efficient,0.06629513,0.09232065,0.05592412,0.0052810274,-0.22779773
educational,0.091623075,0.3183324,-0.014934607,0.10227488,0.282196
edgy,-0.6695086,-0.44916505,-0.034391657,0.08444061,0.35614753
eclectic,-0.08058194,-0.19726937,-0.37911615,0.022380257,0.22781232
earnest,0.46749112,0.37724894,-0.33035055,0.1992894,-0.28671893
dramatic,-0.7322823,-0.306879,-0.26191276,0.045572862,0.09494384
dominant,-0.36154363,0.51670456,-0.03828229,0.057330716,0.46209964
dogmatic,-0.7268564,0.0689401,0.015530238,0.010880117,0.12434054
divergent,0.02391515,0.109513044,0.032204613,-0.11822268,0.2787996
dispassionate,0.48002067,0.59762865,-0.03415739,-0.2693173,0.21529162
disorganized,-0.77247125,-0.34611708,0.18643309,-0.20356493,0.1253363
diplomatic,0.50183547,0.47343022,0.0752088,-0.18156894,-0.3238939
deterministic,-0.5082939,0.0704034,-0.25421694,-0.18153912,0.083807446
detached,0.2705387,0.6472006,-0.013471182,-0.3200625,0.35249817
descriptive,0.40972504,0.44383368,0.07084639,-0.4511438,0.10288958
deontological,-0.024616282,-0.25531027,-0.26299506,0.15395705,0.035248622
deferential,0.621803,-0.5513712,-0.1452863,-0.086450756,-0.16397674
deconstructionist,0.304428,-0.26753235,-0.41103074,0.20120217,0.17434603
decisive,-0.12112911,0.2778002,-0.07019118,0.0074001215,0.14131597
data_driven,0.38670188,-0.04285361,0.008784179,-0.24098597,0.3739787
cynical,-0.45218053,-0.24349907,-0.07787943,0.109451786,0.48663414
curious,0.11359715,-0.097733505,-0.15220179,0.25564355,-0.055533703
cryptic,-0.79425025,-0.04315958,-0.3529351,-0.1168688,0.06590344
cruel,-0.6541643,-0.10272008,-0.022648528,-0.0047599655,0.4746976
critical,0.31704694,-0.2182337,-0.3998572,0.3061062,0.17948127
creative,-0.34043476,-0.11603838,-0.22495992,-0.08195055,0.10778015
cosmopolitan,0.6489456,0.18192284,-0.30022368,0.0119049065,-0.027636446
convergent,0.4456829,-0.1859924,-0.12299654,0.0633447,-0.15654846
contrarian,0.18005243,-0.11577667,-0.40152174,0.27388272,0.21920487
contemporary,0.57536054,-0.22487101,0.24768391,0.059993967,0.10329439
constructivist,0.08013062,-0.46016586,-0.28129062,0.3042052,-0.016563632
conscientious,0.6251248,0.49170855,-0.32907957,0.06889088,-0.0067706807
confrontational,-0.27108285,0.05801631,-0.18800868,0.1893914,0.5569343
confident,-0.6939895,0.30492252,-0.05603256,0.007281133,0.14868788
condescending,-0.70875317,-0.19494593,0.0017113057,-0.06777944,0.2994832
concise,0.09046747,-0.02983509,-0.14288516,0.08387482,-0.24047382
conciliatory,0.7212555,0.18473965,0.018212412,-0.12559325,-0.38909575
conceptual,-0.13439855,0.14047891,-0.58754736,0.4432357,-0.071824476
competitive,-0.6766632,-0.026746223,-0.08512553,0.13001053,0.371822
collectivistic,0.20830745,0.18132466,-0.20117156,-0.020109102,-0.06784501
collaborative,0.5457579,-0.25461578,-0.0519964,0.021113377,-0.08023531
closure_seeking,-0.301523,0.4477243,0.118879616,-0.12777893,0.1951416
circumspect,0.27448446,-0.041289017,-0.15348971,0.086518005,-0.028152851
chill,0.4248117,-0.06056522,0.052204322,0.05920548,-0.42628795
charismatic,-0.2987022,-0.32903004,-0.21925157,0.19930497,0.0864529
chaotic,-0.19591203,-0.5600284,-0.20483124,0.06683202,0.15108196
challenging,0.3356153,-0.32784402,-0.3208622,0.17492703,0.10770136
cautious,0.66984797,-0.15057626,-0.10714513,0.0043737516,0.13714759
casual,-0.32880545,-0.63263416,0.3603984,0.1294914,-0.15167692
calm,0.72382003,0.4223452,-0.0933144,-0.024849491,-0.2536556
callous,-0.51171154,0.14031686,-0.02588557,-0.09475179,0.49755216
calculating,0.65610754,-0.07422748,-0.34155414,-0.012925617,0.027535629
bombastic,-0.70515394,-0.07356703,-0.32789746,-0.045905076,0.28617576
blunt,0.033990625,0.087206736,-0.05076576,-0.03859549,0.32936415
bitter,-0.7102191,-0.3448664,-0.041016072,0.16600822,0.33186692
big_picture,0.03138719,0.09925939,-0.535779,0.57140386,0.07841016
benevolent,0.50911236,0.07256016,0.012005759,-0.0053193113,-0.4417528
avoidant,0.052572962,-0.31414115,0.12923789,-0.18775362,-0.24622296
assertive,-0.55813205,-0.25139087,-0.23075926,0.2700653,0.15864465
ascetic,0.11520673,0.4466725,-0.42899728,0.048748206,-0.12188505
artistic,-0.64563566,-0.39456806,-0.29439303,0.13965604,-0.042338394
arrogant,-0.76148754,0.068197295,-0.09329679,0.01432435,0.41515005
anxious,-0.3801851,-0.51716113,0.31159875,-0.007001254,0.07712405
anthropocentric,-0.432688,0.36180276,0.2770799,-0.00045146793,-0.12236506
animated,-0.42221916,-0.423764,-0.03205046,0.069484696,0.09130073
analytical,0.5422413,0.4184209,0.051449027,-0.17538789,0.298783
altruistic,0.22144124,0.25588942,-0.19567478,-0.055891987,-0.22526857
agreeable,0.5112065,0.13994867,0.027967852,-0.059212547,-0.4497455
adventurous,-0.5831596,-0.35831624,-0.19414137,0.15911481,0.0380022
adaptable,0.36490566,-0.2526634,0.14143157,0.14350526,-0.15984254
acerbic,-0.6377641,-0.3091799,-0.054669462,0.028391233,0.49563077
accommodating,0.287709,-0.54906225,0.17375991,0.08109842,-0.4438719
accessible,0.18520361,-0.20954336,0.29000372,0.07870009,-0.20715503
abstract,-0.104120955,0.11736599,-0.61148554,0.47094128,-0.0041133217
absolutist,-0.66314477,0.34682682,-0.12366794,-0.041162007,0.13562427
