name,label,role_type,default_similarity,contrast_similarity
witness,role,pos_3,0.9989954,0.55442023
pharmacist,role,pos_2,0.99898297,0.5857116
healer,role,pos_3,0.9989786,0.5567196
specialist,role,pos_3,0.99897206,0.57159525
simulacrum,role,pos_2,0.9989713,0.5641511
influencer,role,pos_2,0.99896,0.5847561
summarizer,role,pos_3,0.9989547,0.5736977
anthropologist,role,pos_2,0.99894524,0.5852269
paramedic,role,pos_2,0.9989298,0.58352184
theorist,role,pos_3,0.99892586,0.5637253
scientist,role,pos_2,0.99891484,0.5880309
cosmopolitan,role,pos_3,0.99890906,0.5543878
examiner,role,pos_3,0.9989016,0.5847007
chef,role,pos_2,0.9988995,0.56952417
hacker,role,pos_2,0.9988991,0.5723937
producer,role,pos_2,0.9988901,0.58580077
naturalist,role,pos_3,0.99889,0.5568424
linguist,role,pos_2,0.99886686,0.5837004
futurist,role,pos_2,0.99886066,0.5808946
veterinarian,role,pos_2,0.99885744,0.5870533
vigilante,role,pos_2,0.9988536,0.5645052
competitor,role,pos_2,0.99885297,0.55818164
parent,role,pos_3,0.99884516,0.5594607
symbiont,role,pos_3,0.99883777,0.55601513
strategist,role,pos_2,0.9988365,0.5845441
student,role,pos_3,0.9988264,0.57574517
reporter,role,pos_2,0.9988253,0.5875547
graduate,role,pos_3,0.99881905,0.56076723
archaeologist,role,pos_3,0.9988146,0.5611615
composer,role,pos_3,0.9988097,0.554831
chef,role,pos_3,0.99880415,0.56007123
altruist,role,pos_3,0.998793,0.5597319
artisan,role,pos_2,0.99879193,0.5522964
amateur,role,pos_2,0.9987896,0.57496494
addict,role,pos_2,0.9987778,0.56767964
prodigy,role,pos_3,0.9987764,0.55131686
teacher,role,pos_2,0.9986974,0.58729136
destroyer,role,pos_3,0.9986836,0.5527486
theorist,role,pos_2,0.9986814,0.5808653
blogger,role,pos_3,0.99867505,0.55341893
geographer,role,pos_2,0.99867153,0.5847546
pacifist,role,pos_3,0.9986707,0.5583866
saboteur,role,pos_2,0.9986668,0.57470787
hybrid,role,pos_3,0.99866134,0.5503018
maverick,role,pos_2,0.9986589,0.5518657
sommelier,role,pos_2,0.9986588,0.56505144
virus,role,pos_3,0.9985971,0.5568899
philosopher,role,pos_3,0.9985867,0.5526504
influencer,role,pos_3,0.99857414,0.55764085
devils_advocate,role,pos_3,0.9985736,0.56005216
contrarian,role,pos_2,0.99856645,0.5558431
mediator,role,pos_2,0.99856204,0.5848151
spy,role,pos_3,0.9985559,0.55450153
historian,role,pos_2,0.99854755,0.58537567
martyr,role,pos_2,0.9985347,0.549002
traditionalist,role,pos_2,0.9985285,0.55588996
retiree,role,pos_3,0.9985091,0.55299544
daredevil,role,pos_2,0.9985091,0.5553535
veteran,role,pos_3,0.9984981,0.55050045
mechanic,role,pos_3,0.99849594,0.5552302
patient,role,pos_3,0.99849427,0.55642223
presenter,role,pos_2,0.998494,0.5869726
improviser,role,pos_2,0.99848896,0.56123334
curator,role,pos_2,0.99848324,0.5874424
statistician,role,pos_2,0.9984807,0.5872698
ecosystem,role,pos_3,0.99845874,0.54969174
novelist,role,pos_3,0.99844605,0.5467941
saboteur,role,pos_3,0.9984316,0.55339324
pacifist,role,pos_2,0.99840736,0.55122477
celebrity,role,pos_3,0.9984044,0.5506027
sommelier,role,pos_3,0.9983937,0.5597301
perfectionist,role,pos_3,0.9983914,0.5524989
physicist,role,pos_2,0.99838716,0.58393216
editor,role,pos_3,0.99838024,0.5853146
optimist,role,pos_3,0.99837303,0.5537981
minimalist,role,pos_3,0.9983727,0.5500366
biologist,role,pos_2,0.99834496,0.5888733
nutritionist,role,pos_2,0.99833864,0.5900506
chameleon,role,pos_2,0.998336,0.56938607
chemist,role,pos_2,0.9983347,0.58580434
empath,role,pos_3,0.9983305,0.54761523
playwright,role,pos_3,0.9983285,0.5539918
amateur,role,pos_3,0.9983278,0.5587003
photographer,role,pos_3,0.9983275,0.54547596
podcaster,role,pos_3,0.9983144,0.5678647
zeitgeist,role,pos_3,0.99831104,0.5472565
soldier,role,pos_3,0.9983071,0.54798865
hive,role,pos_3,0.9983024,0.5519343
archaeologist,role,pos_2,0.99828905,0.57785827
swarm,role,pos_3,0.99828774,0.5506722
artisan,role,pos_3,0.99827176,0.54560477
minimalist,role,pos_2,0.998265,0.5484655
fixer,role,pos_3,0.9982611,0.5497951
egregore,role,pos_3,0.99825597,0.54539865
divorcee,role,pos_3,0.9982354,0.5517804
nomad,role,pos_3,0.99822605,0.54292595
newlywed,role,pos_3,0.99820304,0.5561932
shapeshifter,role,pos_3,0.99815565,0.5435845
musician,role,pos_3,0.9981419,0.54274577
immigrant,role,pos_3,0.99813145,0.54650235
visionary,role,pos_3,0.9980941,0.54564476
simulacrum,role,pos_3,0.9980877,0.5489916
elder,role,pos_3,0.99807376,0.54276854
robot,role,pos_3,0.998069,0.5723586
contrarian,role,pos_3,0.9980478,0.54882175
workaholic,role,pos_2,0.9980356,0.5512413
tutor,role,pos_2,0.99801713,0.58770925
playwright,role,pos_2,0.9980111,0.5805705
angel,role,pos_3,0.99800926,0.5447797
idealist,role,pos_3,0.99800795,0.5455686
loner,role,pos_3,0.9980045,0.54283106
bartender,role,pos_3,0.99796957,0.5511469
vigilante,role,pos_3,0.99795586,0.5452014
proofreader,role,pos_2,0.997942,0.5919764
refugee,role,pos_3,0.99792653,0.54378957
orphan,role,pos_3,0.9979,0.5427961
chameleon,role,pos_3,0.99789035,0.5468092
virtuoso,role,pos_3,0.99785954,0.53757924
anarchist,role,pos_3,0.9978592,0.5495473
sage,role,pos_3,0.9978055,0.5408388
actor,role,pos_3,0.9977701,0.53965825
moderator,role,pos_3,0.9977309,0.5861474
traditionalist,role,pos_3,0.9977269,0.5452254
familiar,role,pos_3,0.99771816,0.5370489
parasite,role,pos_3,0.9977039,0.5427031
maverick,role,pos_3,0.9976992,0.5417155
purist,role,pos_3,0.9976946,0.54613435
survivor,role,pos_3,0.99768907,0.5389981
grandparent,role,pos_3,0.9976744,0.5424394
revolutionary,role,pos_3,0.9976633,0.54318136
alien,role,pos_3,0.9976362,0.54270685
avatar,role,pos_3,0.9976293,0.5388995
dilettante,role,pos_3,0.99760693,0.5395076
warrior,role,pos_3,0.9975946,0.5361832
stoic,role,pos_2,0.99759114,0.5514946
guru,role,pos_3,0.99758726,0.537302
addict,role,pos_3,0.99757236,0.5437081
homunculus,role,pos_3,0.99756473,0.5371154
hacker,role,pos_3,0.9975616,0.54373276
widow,role,pos_3,0.997519,0.5409381
auctioneer,role,pos_3,0.997494,0.54273164
wanderer,role,pos_3,0.997447,0.5341608
competitor,role,pos_3,0.9973514,0.54120964
predator,role,pos_3,0.9973507,0.5348195
rogue,role,pos_3,0.99733365,0.53517276
evangelist,role,pos_3,0.9972401,0.5342172
stoic,role,pos_3,0.99718404,0.54371166
narrator,role,pos_3,0.99716115,0.53233445
ancient,role,pos_3,0.9971477,0.53346056
grader,role,pos_3,0.99713063,0.58878607
gamer,role,pos_3,0.9971281,0.538539
spirit,role,pos_3,0.9970924,0.53315276
pilgrim,role,pos_3,0.9970835,0.5324724
chimera,role,pos_3,0.9970596,0.531774
improviser,role,pos_3,0.9970582,0.5340449
flaneur,role,pos_3,0.9970172,0.5305817
surfer,role,pos_3,0.99699444,0.53272915
prisoner,role,pos_3,0.99696356,0.53540826
witch,role,pos_3,0.9969607,0.52918863
adolescent,role,pos_3,0.9969599,0.550249
mystic,role,pos_3,0.99694467,0.5311496
coral_reef,role,pos_3,0.99694085,0.5340848
daredevil,role,pos_3,0.9969149,0.5338639
bard,role,pos_3,0.99686265,0.52826583
shaman,role,pos_3,0.9968518,0.5303297
smuggler,role,pos_3,0.9968428,0.5371915
golem,role,pos_3,0.9968317,0.5323693
mycorrhizal,role,pos_3,0.99682724,0.5316143
revenant,role,pos_3,0.99682283,0.53023976
teenager,role,pos_3,0.9967988,0.55009377
gossip,role,pos_3,0.99677783,0.53980803
provincial,role,pos_3,0.9967761,0.534926
ghost,role,pos_3,0.99676836,0.5279757
provocateur,role,pos_3,0.99676645,0.5339259
oracle,role,pos_3,0.9967639,0.52980685
martyr,role,pos_3,0.9967594,0.5305334
rebel,role,pos_3,0.9967576,0.5326144
ascetic,role,pos_3,0.9967424,0.53242224
exile,role,pos_3,0.9967063,0.52984536
romantic,role,pos_3,0.9966664,0.52783114
proofreader,role,pos_3,0.9966592,0.5949554
workaholic,role,pos_3,0.9966589,0.5390007
vampire,role,pos_3,0.9966532,0.5282415
hedonist,role,pos_3,0.9966521,0.5315025
hermit,role,pos_3,0.99664485,0.52812713
criminal,role,pos_3,0.996624,0.53190506
trickster,role,pos_3,0.9965515,0.5256439
dreamer,role,pos_3,0.99646264,0.52485126
pirate,role,pos_3,0.9964451,0.52914447
amnesiac,role,pos_3,0.99641055,0.5324851
crystalline,role,pos_3,0.99640787,0.53515685
genie,role,pos_3,0.9964008,0.5257615
echo,role,pos_3,0.99634576,0.5259902
whale,role,pos_3,0.996271,0.52649015
interviewer,role,pos_3,0.9962703,0.5862617
bohemian,role,pos_3,0.99627006,0.5231958
wraith,role,pos_3,0.996263,0.52549106
prophet,role,pos_3,0.99621636,0.5246545
wind,role,pos_3,0.9961821,0.52546626
prey,role,pos_3,0.9961337,0.5281593
demon,role,pos_3,0.99601346,0.5231713
jester,role,pos_3,0.996012,0.52538455
cynic,role,pos_3,0.99594617,0.53607553
tree,role,pos_3,0.9957004,0.5226088
aberration,role,pos_3,0.9955974,0.5226027
jester,role,pos_2,0.9955474,0.5322646
void,role,pos_3,0.995479,0.5246968
comedian,role,pos_3,0.9954269,0.5323643
procrastinator,role,pos_3,0.9951472,0.54277205
leviathan,role,pos_3,0.9951345,0.5182349
absurdist,role,pos_3,0.99504197,0.51967263
eldritch,role,pos_3,0.99477094,0.51778203
luddite,role,pos_3,0.9947248,0.5228517
narcissist,role,pos_3,0.99462396,0.5280269
hoarder,role,pos_3,0.9944432,0.52115345
poet,role,pos_3,0.99377203,0.51624995
zealot,role,pos_3,0.99299556,0.5170855
fool,role,pos_3,0.9915527,0.5105298
toddler,role,pos_3,0.9899131,0.52203965
caveman,role,pos_3,0.9895692,0.5123298
infant,role,pos_3,0.9864438,0.5337827
calm,trait,,0.63180506,0.7208631
methodical,trait,,0.62552786,0.7527873
structuralist,trait,,0.59372896,0.59142053
moderate,trait,,0.5689335,0.6706869
conscientious,trait,,0.5574652,0.5418129
resilient,trait,,0.53463197,0.52603763
conciliatory,trait,,0.5165439,0.60186577
serious,trait,,0.5042163,0.48325455
reductionist,trait,,0.50328285,0.5421788
transparent,trait,,0.4986749,0.72080415
utilitarian,trait,,0.48317388,0.3163057
solemn,trait,,0.47783867,0.4691255
serene,trait,,0.475721,0.38561404
diplomatic,trait,,0.47320047,0.47668335
cosmopolitan,trait,,0.47301948,0.4725367
dispassionate,trait,,0.47101155,0.56065345
patient,trait,,0.4647142,0.37306613
formal,trait,,0.4612641,0.42819694
stoic,trait,,0.45822027,0.40809554
analytical,trait,,0.4522239,0.41205
earnest,trait,,0.44850072,0.41151366
factual,trait,,0.44646466,0.79264206
rationalist,trait,,0.44603434,0.598491
flexible,trait,,0.43840408,0.5078475
reserved,trait,,0.40812021,0.52914375
skeptical,trait,,0.4011128,0.4396771
descriptive,trait,,0.38022214,0.5032672
pluralist,trait,,0.37860444,0.44129574
cautious,trait,,0.3772415,0.47662726
calculating,trait,,0.37038305,0.31585896
inclusive,trait,,0.36162028,0.2893031
meticulous,trait,,0.3604051,0.31852254
secular,trait,,0.35209087,0.34944975
problem_solving,trait,,0.35133862,0.29084754
detached,trait,,0.3500781,0.36049023
strategic,trait,,0.3422155,0.27686217
contemporary,trait,,0.33229244,0.4546266
agreeable,trait,,0.32801303,0.3781412
inspirational,trait,,0.32737845,0.2551891
independent,trait,,0.32733455,0.20032518
formalist,trait,,0.32190534,0.3622326
benevolent,trait,,0.31070626,0.4328239
grounded,trait,,0.29914135,0.56511134
humble,trait,,0.2826361,0.45652145
introverted,trait,,0.26132074,0.217702
ascetic,trait,,0.2606775,0.15129821
tactful,trait,,0.25430417,0.23737149
accessible,trait,,0.24347599,0.20548503
introspective,trait,,0.24023616,0.15823437
efficient,trait,,0.23097625,0.1921042
perfectionist,trait,,0.2286651,0.121338785
regulatory,trait,,0.2177052,0.5023862
chill,trait,,0.21746951,0.37460145
convergent,trait,,0.2166197,0.29827088
altruistic,trait,,0.21460289,0.22207773
systems_thinker,trait,,0.21313103,-0.09274601
deferential,trait,,0.21079043,0.47971886
collaborative,trait,,0.20610917,0.34202436
contrarian,trait,,0.19698915,-0.05051013
futuristic,trait,,0.18903676,-0.09882313
practical,trait,,0.18298209,0.18369393
critical,trait,,0.18017931,0.055771932
deconstructionist,trait,,0.17979068,0.018056514
adaptable,trait,,0.17514606,0.12599313
interdisciplinary,trait,,0.17359935,-0.21675311
optimistic,trait,,0.17207201,0.23486133
prescriptive,trait,,0.17156586,0.050976027
technical,trait,,0.1693836,0.18126659
collectivistic,trait,,0.16905737,0.1591834
quantitative,trait,,0.15981232,0.4001007
concise,trait,,0.15908115,0.19774523
understated,trait,,0.15450178,0.30419984
holistic,trait,,0.15051793,-0.02494899
blunt,trait,,0.14012918,0.113732845
provocative,trait,,0.12542479,-0.117603414
exploratory,trait,,0.11615603,0.037603322
ritualistic,trait,,0.11043186,0.05734133
nurturing,trait,,0.10142926,0.07042596
supportive,trait,,0.101172306,0.08729341
inquisitive,trait,,0.09842792,0.16453615
circumspect,trait,,0.09814762,0.08718229
educational,trait,,0.09349522,0.04203216
challenging,trait,,0.08697893,0.024788324
traditional,trait,,0.08685294,0.28266203
decisive,trait,,0.08469527,0.00917906
reverent,trait,,0.072199196,0.024303004
accommodating,trait,,0.07178719,0.06619416
divergent,trait,,0.05984901,-0.13805617
avoidant,trait,,0.054380704,0.041324027
environmental,trait,,0.054345507,-0.043187674
erudite,trait,,0.0491097,-0.023052808
big_picture,trait,,0.045772694,-0.013811632
proactive,trait,,0.045520566,-0.08322362
generalist,trait,,0.042983767,-0.24654408
socratic,trait,,0.030253148,0.13513726
materialist,trait,,0.028755568,0.12348343
meditative,trait,,0.024365373,-0.10161334
specialized,trait,,0.023287144,-0.053315047
pedantic,trait,,0.011159039,0.08414602
submissive,trait,,0.0059408066,0.057702113
open_ended,trait,,-0.0014606597,-0.00436313
existentialist,trait,,-0.0032919557,-0.012050072
curious,trait,,-0.01223712,-0.1071917
pensive,trait,,-0.020302285,-0.11290249
closure_seeking,trait,,-0.02171448,-0.050115872
literal,trait,,-0.02782866,0.2582627
humanistic,trait,,-0.029736347,-0.013483827
speculative,trait,,-0.04237777,-0.4988793
dominant,trait,,-0.04345011,-0.33827832
generous,trait,,-0.047234647,-0.12240058
eclectic,trait,,-0.062194854,-0.35524932
constructivist,trait,,-0.062216986,-0.08770037
conceptual,trait,,-0.06313336,-0.08860747
abstract,trait,,-0.06747314,-0.08860122
egalitarian,trait,,-0.08612355,0.042677984
progressive,trait,,-0.08856011,-0.15100126
data_driven,trait,,-0.095625155,0.32913458
pacifist,trait,,-0.10393776,-0.4436484
creative,trait,,-0.10549622,-0.58279485
principled,trait,,-0.10700916,-0.06285699
innovative,trait,,-0.11225435,-0.41332042
experiential,trait,,-0.11638475,-0.14378579
anthropocentric,trait,,-0.12268104,-0.2832628
improvisational,trait,,-0.123801164,-0.16560152
empathetic,trait,,-0.14422241,-0.15676682
relativist,trait,,-0.14755347,-0.46244967
impulsive,trait,,-0.16977172,-0.2094444
individualistic,trait,,-0.18448302,-0.37398916
urgent,trait,,-0.19278787,-0.36443338
confrontational,trait,,-0.20011261,-0.27469376
verbose,trait,,-0.21064022,-0.2839207
philosophical,trait,,-0.21692109,-0.49717405
deontological,trait,,-0.21780518,-0.024762815
paradoxical,trait,,-0.22281414,-0.62775415
theoretical,trait,,-0.23107049,-0.23641083
forgiving,trait,,-0.232886,-0.3016266
callous,trait,,-0.23771991,-0.37875497
gregarious,trait,,-0.2611099,-0.17592019
rebellious,trait,,-0.27376765,-0.3775918
intuitive,trait,,-0.27666822,-0.61856323
pessimistic,trait,,-0.2817431,-0.3425992
charismatic,trait,,-0.29513416,-0.5185879
deterministic,trait,,-0.29712418,-0.47117853
impatient,trait,,-0.29846343,-0.31238034
nihilistic,trait,,-0.2992299,-0.5045342
essentialist,trait,,-0.30271128,-0.37163785
iconoclastic,trait,,-0.31582382,-0.49050555
chaotic,trait,,-0.32467476,-0.32702452
emotional,trait,,-0.3270987,-0.43924576
absolutist,trait,,-0.3307012,-0.52467
eloquent,trait,,-0.34093466,-0.59082675
historical,trait,,-0.34470803,-0.34605733
elitist,trait,,-0.34808922,-0.58297294
universalist,trait,,-0.35341203,-0.39781156
casual,trait,,-0.35984233,-0.33855543
confident,trait,,-0.361812,-0.5246918
naive,trait,,-0.36396185,-0.40159562
radical,trait,,-0.36817303,-0.4910104
cynical,trait,,-0.3698577,-0.46355614
risk_taking,trait,,-0.37272555,-0.6617027
idealistic,trait,,-0.37400752,-0.5609432
subversive,trait,,-0.38007537,-0.4768756
fatalistic,trait,,-0.3915588,-0.6015985
savage,trait,,-0.3983964,-0.49293783
libertarian,trait,,-0.40543595,-0.5832331
animated,trait,,-0.4093371,-0.58021796
epicurean,trait,,-0.41637164,-0.50061107
reactive,trait,,-0.41704756,-0.42634925
