trait,pos_0,neg_0,default_0,pos_1,neg_1,default_1,pos_2,neg_2,default_2,pos_3,neg_3,default_3,pos_4,neg_4,default_4,pos_5,neg_5,default_5,pos_6,neg_6,default_6,pos_7,neg_7,default_7,pos_8,neg_8,default_8,pos_9,neg_9,default_9,pos_10,neg_10,default_10,pos_11,neg_11,default_11,pos_12,neg_12,default_12,pos_13,neg_13,default_13,pos_14,neg_14,default_14,pos_15,neg_15,default_15,pos_16,neg_16,default_16,pos_17,neg_17,default_17,pos_18,neg_18,default_18,pos_19,neg_19,default_19
contemporary,90,20,80,90,20,40,90,10,30,90,10,20,90,10,40,95,10,20,95,10,70,85,10,70,85,10,85,95,10,20,95,10,20,95,10,20,90,10,20,90,10,40,90,10,20,95,10,60,90,10,80,95,10,20,90,20,30,90,10,40
contrarian,100,0,60,80,0,0,100,0,0,100,0,0,100,0,0,100,0,0,90,0,0,90,0,10,80,0,20,85,0,0,90,0,0,90,0,0,90,0,10,90,0,10,90,0,0,90,0,40,90,0,0,90,0,0,90,0,10,90,0,0
convergent,60,10,40,20,10,10,10,10,10,30,10,20,80,10,20,100,40,100,40,10,20,10,10,20,90,10,70,20,0,20,40,10,20,90,10,80,90,10,20,40,10,0,85,10,20,90,0,20,90,10,20,70,20,30,90,10,20,40,10,70
cosmopolitan,95,90,90,95,20,90,90,40,90,90,70,85,95,100,90,100,90,90,100,90,100,95,95,95,100,80,90,100,70,100,100,90,90,95,90,95,100,70,95,90,70,70,95,90,95,100,85,95,95,90,90,100,90,90,100,75,95,95,85,95
creative,95,10,20,95,10,70,95,10,70,95,20,80,90,20,40,90,20,70,95,10,85,95,0,85,95,10,40,90,10,70,95,10,20,90,20,85,95,10,40,95,10,85,95,10,65,90,60,85,90,10,30,90,0,70,95,10,85,90,10,75
critical,100,20,40,100,20,85,100,10,70,100,40,70,95,40,70,100,10,80,100,10,70,100,20,85,100,10,40,100,10,80,100,10,40,100,10,40,100,10,0,100,10,40,100,40,70,100,30,85,100,30,40,100,10,85,100,10,70,95,10,60
cruel,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0
cryptic,95,10,0,90,0,0,95,0,0,95,0,0,90,0,0,95,0,0,95,0,0,90,0,0,95,0,0,90,0,0,95,0,0,90,0,0,90,0,10,95,0,0,95,0,10,90,0,0,90,10,10,90,0,0,90,0,0,90,0,0
curious,85,10,85,95,10,70,95,0,85,100,10,70,95,10,70,95,10,40,100,0,20,95,0,40,100,0,90,95,10,70,100,10,40,95,0,30,100,10,85,95,40,75,100,0,30,100,10,70,95,0,70,90,0,40,70,10,20,100,20,70
cynical,95,0,10,100,0,20,95,0,0,95,10,10,100,0,0,100,0,0,90,0,10,90,0,10,85,0,0,90,0,0,95,0,0,90,0,0,95,0,0,90,0,0,95,0,0,85,0,0,90,0,0,100,0,10,95,0,0,100,0,0
data_driven,100,10,20,85,0,20,20,10,20,90,10,10,90,10,60,90,0,40,95,10,20,90,0,20,90,10,20,90,0,20,95,10,80,90,0,70,90,10,10,95,20,40,95,10,70,95,0,20,85,0,10,90,10,20,85,10,30,90,10,20
decisive,100,10,20,80,10,10,100,20,70,80,0,10,80,10,20,40,0,10,100,10,20,40,10,10,100,10,10,85,0,10,100,10,0,90,10,10,100,10,10,90,0,10,90,10,0,70,10,0,90,0,10,80,10,10,100,10,20,100,10,30
deconstructionist,95,10,40,90,10,30,95,20,70,90,10,0,95,40,70,95,10,40,95,20,20,90,10,20,90,10,85,95,10,40,95,10,40,95,10,20,80,10,70,100,10,20,100,10,30,90,10,85,85,30,40,95,20,85,95,10,40,95,0,70
deferential,100,85,100,100,90,90,100,90,90,100,90,90,100,90,90,95,85,90,100,100,100,100,90,90,100,95,90,100,100,100,90,90,90,100,95,80,100,90,90,95,90,90,100,90,90,100,90,95,100,90,90,100,95,95,100,90,95,100,95,90
deontological,70,20,20,20,0,20,70,90,40,80,70,70,80,70,70,70,40,30,40,70,20,70,20,20,90,20,90,80,10,0,70,0,80,80,80,70,100,10,90,70,80,70,100,10,90,70,10,10,90,10,90,20,40,20,70,10,70,40,70,0
descriptive,90,10,90,85,10,95,100,30,90,100,10,80,100,30,90,100,10,95,90,60,90,90,10,70,95,0,95,95,0,90,100,40,95,100,10,90,100,70,100,100,10,90,100,10,90,100,0,90,100,30,70,100,40,95,90,10,90,100,20,70
detached,90,10,85,100,10,90,95,0,90,95,0,90,90,70,90,95,10,90,90,0,20,95,10,85,95,10,40,95,20,85,95,0,90,95,20,90,90,0,90,95,0,85,90,0,90,95,20,90,95,0,10,90,0,90,95,0,90,90,20,70
deterministic,100,10,0,100,0,0,100,10,0,100,0,0,90,0,0,100,0,0,100,0,20,100,10,10,100,10,0,100,0,0,100,10,80,100,0,0,85,0,0,100,10,40,100,0,0,100,0,0,100,0,70,85,10,20,100,0,0,100,0,10
diplomatic,100,0,100,100,0,100,100,20,100,100,10,100,100,90,100,100,10,100,100,100,90,100,40,95,100,95,95,100,10,100,100,10,95,100,10,100,100,0,100,100,10,95,90,95,90,100,70,100,100,10,100,100,10,100,100,0,100,100,10,100
disorganized,90,0,0,90,0,0,90,0,0,85,10,10,90,0,0,85,0,10,90,0,0,90,0,5,90,0,0,95,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,10,90,0,0,90,0,0,85,0,0
dispassionate,95,0,40,90,0,90,100,10,90,95,0,90,90,10,90,70,0,70,100,40,100,90,0,60,95,0,90,100,100,90,90,0,40,95,0,90,100,10,70,100,10,95,100,0,100,100,0,100,100,0,90,100,100,100,100,40,100,90,0,90
divergent,95,90,100,100,90,90,100,100,90,100,90,90,95,90,90,95,70,80,95,85,90,100,70,90,95,85,90,100,85,100,95,90,90,90,90,100,95,90,90,100,90,90,95,90,90,95,80,90,95,40,90,95,40,90,95,70,95,95,90,95
dogmatic,10,0,0,0,0,0,90,0,0,0,0,0,85,0,0,40,0,0,90,0,0,90,0,0,0,0,0,0,0,0,90,0,0,0,0,0,85,0,0,85,0,0,95,0,0,40,0,0,0,0,0,90,0,0,20,0,0,90,0,0
dominant,85,30,85,85,20,85,85,20,30,40,0,10,90,0,30,75,30,70,90,30,80,85,30,20,90,10,70,90,20,75,85,0,70,20,10,20,90,70,70,90,10,30,85,10,30,85,10,60,85,10,20,90,10,60,90,20,85,90,10,70
dramatic,100,10,0,95,0,10,95,0,20,95,10,20,95,10,10,95,0,20,100,10,95,95,10,10,100,0,0,95,10,10,95,0,0,95,0,10,100,0,0,100,10,20,100,10,20,95,0,75,95,10,30,95,0,70,100,0,0,95,10,70
earnest,85,10,85,90,0,85,90,90,95,95,20,85,85,10,85,85,20,90,95,90,85,85,70,70,95,85,85,40,0,20,95,0,90,85,40,90,90,90,90,95,90,90,95,85,85,85,10,85,95,90,95,95,90,85,95,80,90,95,70,90
eclectic,100,20,80,100,10,85,95,60,85,95,10,90,95,20,85,95,20,85,95,20,85,95,20,70,100,10,85,95,10,40,95,10,85,100,10,60,95,40,85,95,20,90,95,70,90,100,40,85,95,20,70,100,0,85,90,30,85,90,40,90
edgy,85,0,0,75,0,0,85,0,0,70,0,0,85,0,10,85,0,0,85,0,0,85,0,0,85,0,0,85,0,0,90,0,0,40,0,0,40,0,0,60,0,0,70,0,0,85,0,0,75,0,0,75,0,0,85,0,0,85,0,0
educational,40,0,10,90,10,90,95,30,100,80,0,20,95,60,95,95,20,100,100,0,100,95,30,100,100,0,100,95,20,95,100,20,100,100,70,100,95,20,90,95,20,95,95,20,100,95,20,95,95,0,100,100,20,100,95,40,95,95,70,100
efficient,90,30,40,85,30,60,90,30,40,90,30,60,90,40,60,70,30,40,90,20,40,90,40,70,90,30,60,90,30,40,90,30,60,80,20,70,90,40,60,90,20,60,85,20,40,90,30,40,90,20,70,85,40,40,90,30,70,85,30,40
effusive,100,10,40,100,0,0,100,10,30,100,0,85,100,10,20,100,0,20,100,0,0,100,0,10,100,10,20,100,0,20,100,0,10,100,0,20,100,10,10,100,10,20,100,0,10,100,0,0,100,0,10,100,10,40,100,0,20,100,10,30
egalitarian,90,80,60,90,80,70,100,100,90,100,100,95,85,90,70,90,90,85,85,80,70,100,100,85,90,85,70,100,100,70,100,100,80,90,90,90,95,85,70,100,100,60,100,100,80,100,85,80,90,70,80,100,100,100,100,100,80,100,100,80
elitist,90,0,0,70,0,0,95,0,0,100,0,0,95,0,0,100,20,20,95,0,0,85,0,0,85,0,0,0,0,0,95,0,0,85,0,0,65,0,0,100,0,0,65,0,0,90,0,0,70,0,0,95,10,0,85,0,0,100,0,0
eloquent,95,20,65,95,10,60,95,10,40,95,10,40,95,20,85,95,10,65,95,5,60,95,10,65,95,10,95,95,10,40,95,30,85,95,0,65,95,20,75,95,5,40,95,10,70,95,20,70,95,20,90,95,20,75,95,10,75,95,10,65
emotional,100,20,90,100,20,90,100,0,90,100,20,85,90,20,60,95,70,85,100,60,70,90,70,85,95,0,80,100,10,90,90,10,70,100,20,90,90,20,80,95,0,85,100,40,90,100,10,90,100,40,70,95,20,90,90,70,80,100,40,90
empathetic,95,30,95,100,100,100,95,85,90,90,70,90,100,70,95,100,20,100,95,80,90,95,40,95,100,20,90,100,20,95,100,70,90,95,10,90,95,60,90,95,10,85,100,60,90,100,90,100,95,85,90,95,80,90,100,70,90,100,60,95
enigmatic,95,10,20,85,0,0,95,70,70,95,0,40,95,10,40,90,0,70,95,10,0,95,10,10,95,40,20,95,0,0,90,0,0,95,10,0,90,0,0,95,0,0,95,0,0,95,40,20,95,20,20,95,10,10,95,0,0,95,0,10
entertaining,90,0,0,95,0,10,95,10,70,95,10,10,95,0,20,95,10,40,95,0,20,95,10,20,95,0,20,95,10,10,100,0,10,95,0,10,95,0,40,95,0,20,95,0,20,95,0,30,95,0,10,95,10,10,95,10,40,100,10,30
environmental,100,0,0,100,0,70,100,10,40,100,70,85,100,20,70,100,40,60,100,0,0,100,10,70,100,0,20,100,0,0,100,0,0,90,0,10,100,70,100,100,0,0,100,40,40,90,40,40,100,0,0,100,0,10,100,0,0,100,0,0
epicurean,100,40,20,95,40,20,100,85,20,100,40,20,95,60,70,95,30,10,95,10,40,100,40,0,100,10,10,95,30,10,100,20,0,95,20,40,95,30,20,100,10,10,100,20,0,95,20,0,100,10,0,95,70,40,95,30,60,100,30,20
erudite,85,20,75,90,20,40,90,10,40,95,10,85,90,10,60,85,20,85,90,20,85,90,10,85,85,20,70,90,10,70,85,20,65,85,10,40,95,20,70,90,40,85,90,10,40,90,10,60,90,30,75,95,30,85,85,20,65,90,20,70
esoteric,90,10,40,95,10,10,100,0,20,90,0,70,95,10,30,95,0,30,95,0,70,95,10,60,95,10,20,95,10,70,90,10,30,90,0,40,100,0,20,95,10,10,90,10,20,90,10,40,95,0,10,95,10,20,90,0,30,95,0,10
essentialist,100,0,40,95,0,0,10,0,10,100,0,10,95,0,10,100,0,0,95,0,0,100,0,0,90,0,30,100,10,20,95,0,10,90,0,10,90,0,10,95,0,40,90,0,10,100,10,30,95,0,0,90,0,20,95,0,10,90,0,0
ethereal,95,10,0,95,30,10,95,10,10,95,10,10,95,10,10,95,85,40,90,30,0,95,0,0,90,0,10,95,30,20,90,10,10,95,10,10,95,10,0,95,10,10,95,20,0,95,85,40,95,10,10,90,10,20,90,70,0,95,85,90
evil,70,0,0,70,0,0,0,0,0,90,0,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,80,0,0,80,0,0,10,0,0,70,0,0,0,0,0,20,0,0,80,0,0,80,0,0,0,0,0,90,0,0,90,0,0
existentialist,100,0,90,100,0,70,95,0,60,100,0,70,100,0,70,100,0,70,95,0,40,100,0,70,100,0,85,95,0,85,95,0,40,100,0,70,100,70,90,100,0,85,100,0,70,100,0,90,100,0,40,100,0,90,90,10,85,100,0,70
experiential,95,10,40,95,10,20,90,10,20,95,10,20,100,10,20,90,10,40,90,10,40,90,10,20,100,0,40,95,10,30,95,10,20,90,10,10,100,10,20,90,10,20,90,10,20,90,20,20,90,0,20,90,10,10,100,10,20,100,0,10
exploratory,100,0,100,95,0,90,100,0,100,100,0,90,100,0,100,90,10,90,100,0,80,100,0,100,100,10,80,100,10,95,100,0,90,100,0,90,100,0,100,95,10,80,100,0,100,100,0,90,100,0,100,100,10,95,100,0,95,100,0,95
extroverted,90,0,20,90,10,0,95,40,80,90,0,60,90,10,0,85,0,0,90,0,20,85,0,70,95,20,10,95,0,0,85,0,40,90,0,40,95,10,10,80,0,10,90,0,0,90,10,0,95,0,40,95,20,20,85,0,0,90,10,0
factual,100,95,100,95,90,95,95,90,95,100,20,100,95,20,95,100,40,100,100,60,95,95,70,90,100,95,100,90,60,95,90,10,90,95,70,95,100,40,95,100,10,100,95,70,95,100,20,100,95,10,95,90,40,95,95,30,95,100,85,100
fatalistic,85,0,0,95,0,0,90,0,0,100,0,0,100,0,0,85,0,10,85,0,0,90,0,0,85,0,0,85,0,0,95,0,10,95,0,0,100,0,0,85,0,0,85,0,0,95,10,10,95,0,0,85,0,0,70,0,0,90,0,0
flexible,100,0,90,100,100,95,100,70,100,95,100,90,100,100,95,95,0,100,100,0,100,100,90,100,90,0,90,95,20,80,100,95,95,100,100,95,100,0,100,95,0,90,100,85,90,100,0,100,90,20,90,100,0,100,100,100,100,95,10,90
flippant,90,0,0,95,0,0,90,0,0,90,0,0,90,0,0,90,0,0,100,0,0,90,0,0,100,0,0,90,0,0,95,0,0,100,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,95,0,0,90,0,0,90,0,0
flirty,95,0,0,90,0,0,90,0,0,95,0,0,95,0,0,85,0,0,85,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,90,0,0,95,0,0,95,0,0,95,0,0,90,0,0,100,0,0,100,0,0,95,0,0
forgiving,95,20,90,95,20,85,95,20,85,95,40,90,90,20,70,90,10,90,100,20,90,95,20,90,100,20,90,90,10,20,95,20,70,90,30,85,90,20,20,100,70,80,95,10,70,100,20,85,90,30,90,90,20,80,100,20,90,100,20,90
formal,100,0,95,95,10,40,95,10,70,100,0,95,100,10,90,95,10,90,100,10,70,100,10,40,100,0,90,95,10,90,100,10,95,100,0,95,100,10,90,100,10,95,100,0,85,100,10,95,100,10,95,100,10,85,90,10,85,100,10,95
formalist,95,40,85,95,40,85,95,85,95,100,90,90,95,20,85,95,30,90,95,10,80,95,90,85,95,90,95,95,85,90,95,70,90,95,60,80,95,70,90,95,40,90,95,20,90,95,40,90,95,85,90,95,90,90,95,40,90,95,85,90
fundamentalist,90,0,0,100,0,0,95,0,0,90,0,0,100,0,0,100,0,0,100,0,0,100,0,0,85,0,0,90,0,0,70,0,0,100,0,0,90,0,0,100,0,0,100,0,0,95,0,0,95,0,0,100,0,0,100,0,0,100,0,0
futuristic,100,0,30,100,20,80,95,40,20,95,60,70,100,20,0,100,20,70,95,10,10,100,40,70,95,10,70,95,10,40,100,10,10,100,20,85,100,10,40,95,20,70,95,10,40,100,20,60,95,10,40,100,10,60,100,10,10,95,10,40
generalist,90,70,85,70,70,70,70,70,80,80,80,85,85,REFUSAL,80,70,30,40,90,20,60,70,70,70,90,80,90,90,60,70,90,0,90,90,80,90,90,80,80,70,0,40,90,70,85,80,70,80,90,80,85,80,40,70,90,70,85,95,70,85
generous,95,80,95,95,40,95,95,40,100,95,40,95,95,60,90,90,60,95,95,70,95,95,70,90,95,40,90,95,70,95,90,70,95,95,40,90,95,80,95,95,30,95,100,70,100,95,40,40,95,40,90,95,60,95,95,60,95,95,60,95
goofy,95,0,0,95,0,0,95,0,0,95,0,0,90,0,0,100,0,0,90,0,0,100,0,0,90,0,0,90,0,0,90,0,0,90,0,0,100,0,0,100,0,0,90,0,0,90,0,0,100,0,0,95,0,0,85,0,0,90,0,0
