trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
supportive,91.7,100,100
sycophantic,80.7,96,96
systems_thinker,44.4,60,60
tactful,43.6,38,39
technical,55.5,78,79
temperamental,92.75,100,100
theatrical,98.15,100,100
theoretical,67.75,87,87
traditional,91.95,100,100
transparent,12.8,8,8
understated,84.7,99,99
universalist,37.1,41,41
urgent,83.25,97,97
utilitarian,48.55,66,61
verbose,82.35,99,99
vindictive,1.3,0,0
visceral,66.3,78,78
whimsical,96.1,100,100
witty,87.75,100,99
wry,90.9,100,100
zealous,78.5,100,100
