trait,PC1,PC2,PC3,PC4,PC5
fundamentalist,0.3676111,0.160911,-0.11083854,0.18414964,0.09055561
formalist,-0.29529288,-0.4210516,-0.46497634,0.20463727,-0.07459443
formal,-0.20407404,-0.72665626,-0.082551576,0.0689425,0.08567609
forgiving,-0.15192577,-0.20063636,0.29234576,-0.49189726,0.0028642989
flirty,0.5733753,0.27354574,0.045493286,0.004349719,0.02616915
flippant,0.38758722,0.6424492,-0.19264194,0.09525458,0.15693371
flexible,-0.41063944,-0.32409754,0.053378448,-0.2807585,-0.20729628
fatalistic,0.56117547,-0.0034798384,-0.01478777,0.0050027687,0.21800868
factual,-0.59623015,-0.37497538,-0.1915266,-0.018346528,-0.06777812
extroverted,0.009058062,0.0030942787,0.26351944,-0.024433356,-0.08041992
exploratory,-0.14631377,-0.19205126,0.13193129,0.0011233492,-0.013543595
experiential,-0.07753492,0.35298437,0.051697712,-0.04924261,-0.21401967
existentialist,0.060621526,0.0013912313,0.28902912,-0.04031411,0.06682329
evil,0.5221276,0.4017016,-0.093079604,0.31177506,0.23181178
ethereal,0.7589168,-0.377515,-0.03171091,-0.19657826,0.09782571
essentialist,0.24280584,-0.009775421,-0.07891315,0.054321356,-0.004851892
esoteric,0.36550736,-0.34927094,-0.07573174,0.23594835,0.1513228
erudite,0.09845684,-0.6348401,-0.043818574,0.25600964,0.08245919
epicurean,0.2816674,-0.44132668,0.14493439,0.08827701,-0.0042199325
environmental,0.15320005,-0.26951823,0.22003146,-0.10395656,-0.09070529
entertaining,0.43871617,0.2796589,0.15278128,-0.0064465133,-0.052026138
enigmatic,0.7625241,-0.16232865,-0.021335283,-0.04869963,0.1730351
empathetic,0.11534575,0.1724792,0.56221783,-0.36943597,0.028221961
emotional,0.27667823,0.17522986,0.49679562,-0.23436913,-0.00032070745
eloquent,0.24484031,-0.53624576,0.30506104,0.10673421,0.057253882
elitist,0.46445885,-0.013492842,-0.06177662,0.40722436,0.07298881
egalitarian,-0.093142115,-0.306511,0.3467316,-0.020487994,-0.085718155
effusive,0.37419608,0.19427805,0.19201064,-0.0011403894,0.011787817
efficient,0.03160309,0.3053603,-0.21373655,-0.054356385,0.05155737
educational,-0.24661106,-0.5964137,0.114084214,0.15501256,-0.09434492
edgy,0.55143917,0.4664674,-0.059294898,0.37947804,0.21875189
eclectic,0.32937506,-0.40126523,0.09209449,0.07954087,-0.0084518865
earnest,-0.25815946,-0.57497704,0.34616628,-0.14120248,-0.1802608
dramatic,0.6524098,-0.24683785,0.16016795,0.074522234,0.06523715
dominant,0.010122312,-0.2616492,-0.08308432,0.4351928,-0.14680779
dogmatic,0.40438542,0.33570057,-0.04384961,0.24581262,0.13460949
divergent,-0.058579434,-0.29007518,0.03799831,0.043954246,-0.051215123
dispassionate,-0.36558345,-0.34375906,-0.513193,0.15267539,0.04055285
disorganized,0.45058197,0.58231676,-0.18210165,-0.07272815,0.09095523
diplomatic,-0.48236486,-0.5375365,-0.041589484,-0.3972268,-0.14101636
deterministic,0.43857932,-0.041326545,-0.084266864,0.104026146,0.19551466
detached,-0.266112,-0.2618832,-0.5642429,0.2907112,0.02011533
descriptive,-0.23037277,-0.14407429,-0.41778836,-0.16355462,0.035033133
deontological,0.16299708,-0.06417781,0.15239552,-0.022889867,-0.003163778
deferential,-0.0051659164,0.11796729,-0.048888218,-0.2636677,0.110052206
deconstructionist,0.29192352,-0.19500346,0.087851934,0.3408104,0.27883703
decisive,-0.11029371,-0.20920879,0.014591567,0.12888896,-0.19701827
data_driven,-0.22371419,-0.11935204,-0.47496003,0.25199223,0.002914648
cynical,0.3964927,0.28638443,-0.20221895,0.5402513,0.204129
curious,-0.07023494,-0.4291729,0.34161648,0.017432988,-0.025877705
cryptic,0.7228493,-0.33227596,-0.007158434,-0.02210244,0.10234672
cruel,0.41753247,0.36289173,-0.25957713,0.479679,0.1486599
critical,0.3089439,-0.12361365,0.17700763,0.3568516,0.2954951
creative,0.4234099,-0.31696105,0.14085855,0.063947335,0.05064344
cosmopolitan,-0.19829702,-0.6125605,-0.02107006,-0.08571259,0.053926434
convergent,-0.07225526,0.21553011,-0.2730715,0.04326592,-0.052739512
contrarian,0.42864606,0.027779534,0.104998454,0.42776856,0.33069757
contemporary,-0.25331905,0.06252834,-0.023023438,0.11642368,-0.07480514
constructivist,0.18489584,-0.16236536,0.2578663,0.026871443,0.07314754
conscientious,-0.3465753,-0.67337954,0.16693631,0.05365551,-0.10017697
confrontational,0.19671929,0.07359634,-0.06329699,0.5846441,0.053242546
confident,0.18844706,-0.07563518,0.033019375,0.22492446,-0.087478936
condescending,0.45274988,0.26770866,-0.17099538,0.20727623,0.15296406
concise,0.025020178,0.20951244,-0.23108897,-0.05742919,0.051770195
conciliatory,-0.5069927,-0.40717825,0.07469317,-0.46729404,-0.12893295
conceptual,0.2617322,-0.42149967,0.16152753,0.06448682,0.18802597
competitive,0.47105682,0.22450471,-0.060315516,0.4681486,-0.02888068
collectivistic,-0.10846562,-0.19185555,0.052686162,-0.23751196,-0.14075466
collaborative,-0.15473036,-0.16355747,0.027158841,-0.115276396,-0.0682202
closure_seeking,-0.07687145,-0.06337834,-0.11746071,0.11573087,-0.2139741
circumspect,-0.090691574,-0.18971203,0.095095515,-0.19602415,0.12410469
chill,-0.18568282,-0.03898703,0.29292348,-0.42927414,-0.10888923
charismatic,0.08708743,-0.32811838,0.3829019,0.10877619,-0.07918855
chaotic,0.44827336,-0.10404102,0.008677618,0.12135208,0.07588077
challenging,0.1937843,-0.077636205,-0.021333216,0.4348749,0.29007906
cautious,-0.11648247,-0.05659112,-0.13569379,0.045358922,0.124905564
casual,0.1795853,0.7152742,0.1658849,-0.096642286,-0.08208841
calm,-0.48745307,-0.5310273,0.09024142,-0.25834042,-0.06034357
callous,0.32983863,0.32833776,-0.3057764,0.49500948,0.12197449
calculating,-0.22622122,-0.7856506,-0.079455815,0.08221544,0.017168809
bombastic,0.51558936,-0.42659712,-0.046315096,0.23875931,0.1520324
blunt,0.053563766,0.20111023,-0.26493996,0.42607927,-0.05739721
bitter,0.5078822,0.45759705,-0.06671063,0.38859144,0.16171464
big_picture,0.071432196,-0.49539563,0.34831163,0.11223032,-0.027958583
benevolent,-0.39957204,-0.40134516,0.24495411,-0.4737485,-0.14218588
avoidant,0.1598148,0.40243465,-0.24260192,-0.14240515,0.18737848
assertive,0.23121141,0.043785274,0.19588022,0.3176288,-0.13312477
ascetic,0.28895497,-0.30054528,0.17015955,-0.108547665,0.10744331
artistic,0.5134222,-0.15957607,0.33651772,-0.18262431,-0.045978572
arrogant,0.49107954,0.12836942,-0.10252938,0.41489318,0.12543482
anxious,0.23726237,0.50396615,-0.22751546,0.06494743,0.11103827
anthropocentric,0.18721351,0.17954351,0.085810855,0.1331292,-0.0059520956
animated,0.19312297,-0.17671387,0.2797386,0.048087183,-0.09355947
analytical,-0.43727967,-0.47030294,-0.2737001,0.23275632,-0.06966604
altruistic,-0.2313992,-0.38585004,0.18457668,-0.34929097,-0.089942314
agreeable,-0.36779583,-0.44010228,0.14184408,-0.5117382,-0.13324012
adventurous,0.32599032,-0.11113937,0.18113703,0.15773343,0.056399662
adaptable,-0.31822473,-0.15861125,0.2751741,-0.1335261,-0.14045617
acerbic,0.45219517,0.3647932,-0.20490405,0.4683339,0.20744486
accommodating,0.24467689,0.38432154,0.17637548,-0.13197131,0.26060322
accessible,-0.25378156,0.34844875,0.10144672,-0.25217247,-0.16557686
abstract,0.25296605,-0.4720474,0.18595172,0.086540684,0.14680646
absolutist,0.23570132,0.038503647,0.05369984,0.07710595,-0.024424402
