name,default_similarity,contrast_similarity,trait_score
reverent,0.23971613,-0.21704186,69.75
eloquent,0.23865062,-0.36935812,64.21
qualitative,0.23655269,-0.26668853,69.475
chill,0.23051709,0.20804247,68.525
stoic,0.22779708,0.21447322,77.3
charismatic,0.22386865,-0.1756704,47.55
meditative,0.21846442,-0.20704804,74.65
introverted,0.21157545,-0.14901645,13.15
abstract,0.20791139,-0.2815209,82.3
interdisciplinary,0.20273148,-0.17254055,77.1
ritualistic,0.20245951,-0.15600398,88.25
circumspect,0.19766957,0.006571328,82.2
erudite,0.19556798,-0.2396311,66.675
collectivistic,0.15817264,0.056133494,84.05
progressive,0.15767096,0.004702944,88.3
collaborative,0.1509749,0.05088802,58.05
reserved,0.14685158,0.42302442,97.375
conceptual,0.14576975,-0.3143491,86.975
epicurean,0.14192247,-0.3669498,38.55
constructivist,0.13807885,-0.2792271,83.975
speculative,0.13514194,-0.41334167,82.65
introspective,0.13444129,-0.34883115,57.7
philosophical,0.1336211,-0.5462154,64.8
dispassionate,0.1327479,0.33173233,88.6
formalist,0.13198182,0.14401983,88.15
idealistic,0.11459439,-0.2981977,75.625
gregarious,0.11165196,-0.049339302,52.875
pacifist,0.111398794,-0.33500394,44.65
cautious,0.11110849,0.08996775,93.8
specialized,0.10180787,-0.17836197,77.875
environmental,0.100434065,-0.1917844,30.85
contemporary,0.10041839,0.1993557,47.05
animated,0.09831825,-0.23358238,72.725
humble,0.09672171,0.21203595,62.875
secular,0.09208783,0.34547114,94.85
extroverted,0.08971417,-0.02923253,17.825
technical,0.08876388,-0.08517748,83.2
theoretical,0.08539523,-0.37538615,68.675
ascetic,0.08070204,-0.23139109,16.2
utilitarian,0.07125673,0.13053003,53.475
dominant,0.067841016,-0.13950935,55.45
existentialist,0.06635733,-0.015110675,65.075
empathetic,0.061386082,-0.11231477,94.85
accessible,0.058965143,0.3967989,84.9
eclectic,0.058366504,-0.451126,77.8
poetic,0.051797926,-0.5348991,16.275
detached,0.048354883,0.25058958,35.725
futuristic,0.04830251,-0.27222306,51.95
open_ended,0.03976148,-0.13448882,88.05
spiritual,0.035145998,-0.5591999,46.75
descriptive,0.032406386,0.27704474,93.075
creative,0.02844268,-0.51300293,55.35
skeptical,0.027479542,-0.09249588,87.4
decisive,0.025097607,0.10388484,25.675
prescriptive,0.016374571,0.1125432,87.375
emotional,0.0077954074,-0.26989913,84.0
deconstructionist,0.002127055,-0.39318794,25.65
rationalist,0.0017209889,0.3353569,88.975
metaphorical,-0.0026473952,-0.58546615,5.85
artistic,-0.0047419653,-0.46834478,58.925
traditional,-0.010785331,0.15750958,70.175
adventurous,-0.013622531,-0.3290362,41.825
deontological,-0.014349308,-0.124537714,43.5
theatrical,-0.025169386,-0.54971343,5.675
bombastic,-0.03685749,-0.52431184,12.025
innovative,-0.038946226,-0.37729192,41.9
ethereal,-0.040635858,-0.648643,23.475
pedantic,-0.042214666,-0.32171848,25.175
mystical,-0.0432209,-0.63413596,36.275
critical,-0.051240094,-0.39718685,57.125
rhetorical,-0.05496347,-0.6344957,19.45
paradoxical,-0.057133015,-0.50626725,91.025
dramatic,-0.06254732,-0.6072832,32.575
closure_seeking,-0.06488846,0.10981661,23.225
regulatory,-0.07286111,0.035026077,86.3
deferential,-0.07879908,-0.058413647,92.4
rebellious,-0.08023687,-0.3419892,20.525
chaotic,-0.0824989,-0.46235344,28.075
romantic,-0.089766905,-0.6628368,19.85
radical,-0.09649132,-0.3932261,9.85
relativist,-0.0990256,-0.40662906,67.0
cryptic,-0.100477524,-0.6750222,0.95
grandiose,-0.100714356,-0.66314036,1.125
practical,-0.101918325,0.3042818,92.3
risk_taking,-0.104600675,-0.46037948,42.975
passionate,-0.10672576,-0.4202756,36.4
inquisitive,-0.108106375,-0.10903658,87.975
esoteric,-0.10876267,-0.5230315,50.875
assertive,-0.11314615,-0.2374245,17.375
confident,-0.114921995,-0.19356908,62.375
challenging,-0.11492845,-0.32755402,46.15
melodramatic,-0.115566954,-0.59831804,2.325
individualistic,-0.117808156,-0.44005033,62.325
data_driven,-0.12265844,0.16924216,28.625
quantitative,-0.122713976,0.19184268,31.9
grounded,-0.1230248,0.521402,92.4
reductionist,-0.12940815,0.29977974,84.4
effusive,-0.1387325,-0.3247688,24.825
essentialist,-0.14247054,-0.21782462,33.325
zealous,-0.14784963,-0.4977773,33.225
experiential,-0.15302758,0.09219954,20.0
urgent,-0.16706927,-0.102173775,56.65
universalist,-0.16715181,-0.10459289,51.875
absolutist,-0.16731073,-0.21597098,9.55
witty,-0.16746244,-0.40002924,6.475
accommodating,-0.16783996,-0.3471384,84.35
enigmatic,-0.17361617,-0.70505464,8.275
provocative,-0.18026546,-0.54871327,13.5
libertarian,-0.1836112,-0.35589173,12.075
anthropocentric,-0.19057074,-0.27987897,29.15
confrontational,-0.19219612,-0.16417718,30.95
whimsical,-0.2031829,-0.6904667,1.05
elitist,-0.20402883,-0.5260614,1.0
contrarian,-0.20429488,-0.48047456,7.9
fatalistic,-0.20977749,-0.49482793,0.6
understated,-0.22430293,0.04518356,10.775
deterministic,-0.22857067,-0.47497982,22.225
stream_of_consciousness,-0.2344011,-0.5028603,9.2
entertaining,-0.2356313,-0.4334891,13.05
improvisational,-0.24103701,-0.4277691,77.875
melancholic,-0.24370368,-0.42160526,15.8
sycophantic,-0.24417658,-0.37602276,2.55
naive,-0.24433208,-0.016097654,1.55
blunt,-0.25052455,0.055762,7.375
iconoclastic,-0.25285238,-0.50367206,15.8
nihilistic,-0.25397468,-0.49206698,0.0
sassy,-0.2624852,-0.22339004,1.775
narrative,-0.26758465,-0.60424894,2.65
historical,-0.2704889,-0.46657917,9.625
manic,-0.2772191,-0.38396886,1.225
competitive,-0.27870226,-0.5229503,4.2
vindictive,-0.28532833,-0.22032785,0.75
pessimistic,-0.2879218,-0.25012562,31.3
subversive,-0.2917065,-0.5854225,17.5
paranoid,-0.2918918,-0.53769386,2.875
nostalgic,-0.29572073,-0.58478254,8.7
spontaneous,-0.29598507,-0.6602969,17.0
casual,-0.29938862,-0.07479538,8.325
arrogant,-0.30355093,-0.4708467,0.0
anxious,-0.30401504,-0.20616159,8.575
socratic,-0.30777717,-0.24270266,29.05
obsessive,-0.3089621,-0.6059589,8.675
flirty,-0.30993265,-0.56684184,1.625
concise,-0.3109714,-0.010982364,19.775
fundamentalist,-0.31358302,-0.34144112,0.75
materialist,-0.3150917,-0.060716964,29.375
playful,-0.31705767,-0.47356308,5.325
hedonistic,-0.3193866,-0.4277483,15.5
condescending,-0.3221665,-0.46387672,0.45
militant,-0.3231594,-0.4186821,0.575
cynical,-0.3233053,-0.3701034,3.275
submissive,-0.33088186,-0.2567508,23.225
convergent,-0.34581217,0.014388103,34.95
misanthropic,-0.34908184,-0.5232946,0.0
neurotic,-0.35634455,-0.25917304,8.9
dogmatic,-0.36186996,-0.37179658,0.85
nonchalant,-0.37126014,-0.14588562,1.425
efficient,-0.37979293,-0.02911873,49.15
temperamental,-0.38359374,-0.42349264,0.95
disorganized,-0.39505517,-0.37939352,4.05
callous,-0.40432146,-0.2677888,0.0
evil,-0.4108677,-0.4948123,0.0
mischievous,-0.4270367,-0.5590536,5.825
hostile,-0.42706192,-0.28437495,0.0
passive_aggressive,-0.43006578,-0.44454905,0.725
cruel,-0.43317997,-0.34489682,0.0
manipulative,-0.43717024,-0.4643355,0.0
literal,-0.44075778,-0.008045362,38.625
mercurial,-0.44327688,-0.59324807,0.0
bitter,-0.4438002,-0.42024735,0.85
visceral,-0.44402725,-0.36504436,2.625
ironic,-0.44416443,-0.43058875,9.475
reactive,-0.45368055,-0.3172094,27.45
judgmental,-0.4537284,-0.4025281,0.0
impatient,-0.45720133,-0.26983562,0.0
goofy,-0.46065623,-0.4117353,3.825
savage,-0.46945024,-0.28204355,3.025
avoidant,-0.4701628,-0.17482942,6.625
acerbic,-0.4814967,-0.38458538,2.25
wry,-0.48837698,-0.38291144,5.4
sardonic,-0.49657074,-0.35817125,2.125
impulsive,-0.49920735,-0.2979899,1.275
flippant,-0.50719434,-0.2959646,0.0
sarcastic,-0.50896984,-0.3847248,0.0
irreverent,-0.5090066,-0.30600485,1.725
petty,-0.5110744,-0.4509677,0.5
edgy,-0.5174237,-0.5021201,0.0
