index,trait,cos_sim
48,regulatory,0.8539079
216,bombastic,0.85248065
209,chaotic,0.8521964
50,rebellious,0.8519206
190,cosmopolitan,0.85182256
101,manipulative,0.85114235
228,animated,0.8494866
115,individualistic,0.84817916
168,earnest,0.8472113
119,improvisational,0.8453469
127,historical,0.84303373
123,humble,0.8427151
210,challenging,0.84142846
134,generalist,0.8410922
72,patient,0.840299
2,witty,0.8372154
83,nonchalant,0.83541924
191,convergent,0.8351413
114,innovative,0.83393663
112,inspirational,0.82920915
29,specialized,0.8281111
7,urgent,0.82638574
212,casual,0.82447195
95,metaphorical,0.8239938
192,contrarian,0.82167685
229,analytical,0.82081187
18,sycophantic,0.8157179
109,introverted,0.81053925
117,inclusive,0.8089551
28,speculative,0.80850136
227,anthropocentric,0.8062944
230,altruistic,0.8008856
194,constructivist,0.7996144
231,agreeable,0.79959667
220,benevolent,0.79955614
171,dogmatic,0.7941954
155,environmental,0.7938874
58,problem_solving,0.79310393
167,eclectic,0.7889323
66,philosophical,0.7877809
207,chill,0.7828232
69,perfectionist,0.7786364
60,principled,0.77452
142,flexible,0.7744695
154,epicurean,0.7728888
130,gregarious,0.7605389
215,calculating,0.7522211
93,meticulous,0.7519569
32,skeptical,0.747273
111,interdisciplinary,0.743781
99,meditative,0.74329054
103,literal,0.7423587
170,dominant,0.7409774
120,impatient,0.7392007
153,erudite,0.73553157
47,relativist,0.73232883
214,callous,0.7296648
233,adaptable,0.72541773
24,strategic,0.7180673
181,deconstructionist,0.7139029
43,rhetorical,0.71055794
51,reactive,0.71031946
146,exploratory,0.70780945
16,tactful,0.70592654
162,egalitarian,0.6918634
235,accommodating,0.6813698
165,educational,0.67315185
172,divergent,0.67134565
126,holistic,0.66720605
206,circumspect,0.6579303
19,supportive,0.65084577
59,proactive,0.6448325
17,systems_thinker,0.64127445
5,verbose,0.63353014
185,curious,0.6282201
21,submissive,0.62684035
208,charismatic,0.62520313
81,nurturing,0.62370527
199,concise,0.61141276
118,impulsive,0.6050408
133,generous,0.57175255
221,avoidant,0.5542736
9,understated,0.5450853
70,pensive,0.54313624
217,blunt,0.5378326
160,eloquent,0.50250316
164,efficient,0.36011723
