trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
philosophical,81.8125,1150,1150
petty,80.0625,1054,1056
pessimistic,80.40416666666667,1139,1134
perfectionist,71.12916666666666,1100,1100
pensive,60.586666666666666,864,871
pedantic,77.78666666666666,1135,1132
patient,91.4625,1174,1175
passive_aggressive,77.7075,1076,1078
passionate,80.22166666666666,1180,1182
paranoid,72.28333333333333,992,997
paradoxical,58.93333333333333,778,779
pacifist,69.23333333333333,965,976
optimistic,93.3,1199,1199
open_ended,74.70833333333333,1058,1058
obsessive,69.94166666666666,1086,1085
nurturing,91.02083333333333,1198,1198
nostalgic,87.07083333333334,1186,1186
nonchalant,91.84166666666667,1200,1200
nihilistic,96.96666666666667,1197,1197
neurotic,88.92916666666666,1196,1196
narrative,93.07083333333334,1200,1200
naive,86.7,1198,1198
mystical,90.62916666666666,1186,1186
moderate,88.45416666666667,1176,1176
mischievous,89.5,1194,1194
misanthropic,91.44416666666666,1162,1164
militant,84.6525,1101,1101
meticulous,47.7125,781,778
methodical,54.975,905,910
metaphorical,96.72583333333333,1194,1194
mercurial,90.895,1200,1200
melodramatic,96.81166666666667,1200,1200
melancholic,94.80416666666666,1200,1200
meditative,93.40416666666667,1200,1200
materialist,79.83333333333333,1118,1118
manipulative,27.866666666666667,373,376
manic,93.57083333333334,1199,1199
literal,80.44583333333334,1070,1071
libertarian,88.99166666666666,1181,1181
judgmental,72.75,925,929
irreverent,92.48333333333333,1200,1200
ironic,98.56666666666666,1199,1199
intuitive,25.416666666666668,308,308
introverted,80.07083333333334,1196,1196
introspective,78.72083333333333,1138,1138
interdisciplinary,54.325,793,793
inspirational,78.45916666666666,1040,1042
inquisitive,96.38333333333334,1175,1177
innovative,78.4075,1177,1177
individualistic,70.235,1070,1068
independent,49.55416666666667,737,740
inclusive,68.60833333333333,1088,1087
impulsive,65.90833333333333,901,910
improvisational,59.3625,1071,1064
impatient,90.52083333333333,1197,1197
idealistic,74.97083333333333,1069,1069
iconoclastic,86.525,1139,1139
humble,78.69166666666666,1110,1110
humanistic,72.575,1062,1061
hostile,92.97083333333333,1196,1196
holistic,65.61666666666666,1025,1025
historical,90.325,1183,1183
hedonistic,89.8125,1166,1166
grounded,78.2875,1180,1180
gregarious,82.91666666666667,1170,1170
grandiose,87.07916666666667,1190,1191
goofy,97.15416666666667,1200,1200
generous,69.005,1038,1043
generalist,49.675,796,802
futuristic,79.16833333333334,1151,1150
fundamentalist,90.73083333333334,1184,1184
formalist,61.634166666666665,893,895
formal,88.025,1200,1200
forgiving,66.9925,958,973
flirty,84.15,1123,1123
flippant,93.01666666666667,1200,1200
flexible,71.41666666666667,977,981
fatalistic,92.0625,1191,1192
factual,45.0125,657,656
extroverted,81.72083333333333,1121,1120
exploratory,80.9125,1161,1161
experiential,77.72083333333333,1197,1196
existentialist,91.10833333333333,1184,1184
evil,44.791666666666664,596,596
ethereal,92.54083333333334,1197,1197
essentialist,91.775,1195,1195
esoteric,84.62916666666666,1160,1160
erudite,79.30833333333334,1197,1197
epicurean,74.83416666666666,1086,1085
environmental,87.51666666666667,1115,1115
entertaining,83.5775,1200,1200
enigmatic,91.77166666666666,1197,1197
empathetic,83.59833333333333,1186,1185
emotional,86.9875,1182,1183
eloquent,75.48083333333334,1190,1189
elitist,52.12916666666667,694,700
egalitarian,32.416666666666664,524,612
effusive,96.825,1200,1200
efficient,72.35416666666667,1198,1198
educational,81.29583333333333,1155,1155
edgy,83.4875,1190,1190
eclectic,68.525,1110,1109
earnest,87.22083333333333,1184,1184
dramatic,92.56666666666666,1197,1197
dominant,76.54166666666667,1193,1193
dogmatic,89.5875,1166,1166
divergent,67.79583333333333,990,990
dispassionate,90.8375,1200,1200
disorganized,83.0625,1200,1200
diplomatic,79.75,1084,1088
deterministic,95.85416666666667,1184,1185
detached,89.47083333333333,1193,1193
descriptive,75.55833333333334,1094,1096
deontological,84.30416666666666,1098,1104
deferential,68.72083333333333,974,975
deconstructionist,79.48333333333333,1129,1128
decisive,85.54583333333333,1192,1192
data_driven,88.14583333333333,1186,1186
cynical,94.33333333333333,1189,1189
curious,86.275,1186,1186
cryptic,91.61666666666666,1184,1184
cruel,75.18333333333334,1016,1017
critical,83.14166666666667,1132,1132
creative,75.7875,1179,1179
cosmopolitan,64.87083333333334,962,959
convergent,75.77083333333333,1151,1151
contrarian,90.575,1145,1145
contemporary,79.025,1190,1190
constructivist,80.09166666666667,1120,1121
conscientious,80.93333333333334,1135,1135
confrontational,82.25833333333334,1157,1156
confident,68.55416666666666,1087,1095
condescending,82.23666666666666,1148,1151
concise,86.4125,1196,1196
conciliatory,77.9025,1057,1061
conceptual,72.37416666666667,1109,1111
competitive,92.92166666666667,1193,1193
collectivistic,89.79583333333333,1183,1182
collaborative,85.325,1170,1170
closure_seeking,79.77916666666667,1169,1169
circumspect,79.21666666666667,1096,1096
chill,90.6,1200,1200
charismatic,73.68916666666667,1195,1195
chaotic,76.90833333333333,1123,1117
challenging,72.84166666666667,1078,1078
cautious,67.97083333333333,1033,1030
casual,92.46666666666667,1200,1200
calm,92.99583333333334,1195,1195
callous,84.72083333333333,1145,1145
calculating,36.016666666666666,487,487
bombastic,93.5075,1200,1200
blunt,83.93333333333334,1178,1179
bitter,94.02083333333333,1200,1200
big_picture,69.65833333333333,1048,1050
benevolent,84.58166666666666,1159,1160
avoidant,35.833333333333336,417,423
assertive,85.85833333333333,1193,1194
ascetic,86.785,1185,1187
artistic,91.00833333333334,1198,1198
arrogant,92.50166666666667,1200,1200
anxious,90.12083333333334,1199,1199
anthropocentric,78.7625,1087,1087
animated,86.6375,1197,1197
analytical,36.925,582,582
altruistic,82.37083333333334,1092,1093
agreeable,89.03333333333333,1185,1186
adventurous,83.22083333333333,1178,1177
adaptable,30.229166666666668,427,427
acerbic,94.50416666666666,1200,1200
accommodating,69.45833333333333,990,990
accessible,80.225,1197,1197
abstract,66.01083333333334,1020,1021
absolutist,88.0525,1183,1183
