pc1,pc2,pc3,pc4,pc5,pc6
generalist,alien,retiree,composer,simulacrum,sommelier
editor,pacifist,patient,archaeologist,comedian,oracle
analyst,theorist,blogger,pharmacist,spirit,zeitgeist
coordinator,poet,elder,translator,skeptic,coach
secretary,naturalist,martyr,assistant,reporter,bard
observer,symbiont,graduate,cartographer,linguist,curator
specialist,purist,guru,conservator,jester,influencer
nutritionist,scholar,sage,parent,anthropologist,hedonist
statistician,martyr,spirit,pharmacist,organizer,daredevil
judge,composer,immigrant,navigator,validator,hedonist
proofreader,geographer,celebrity,amnesiac,caveman,wanderer
moderator,revenant,peacekeeper,student,leviathan,healer
accountant,polymath,refugee,merchant,ghost,maverick
proofreader,biologist,adolescent,shapeshifter,skeptic,spirit
lawyer,emissary,healer,hoarder,secretary,avatar
facilitator,archivist,provincial,patient,supervisor,shaman
facilitator,idealist,therapist,accountant,angel,visionary
debugger,traditionalist,teenager,fool,devils_advocate,writer
generalist,robot,assistant,prey,doctor,blogger
strategist,sociologist,newlywed,hoarder,poet,trainer
specialist,archaeologist,activist,physicist,psychologist,chef
pharmacist,conservator,provincial,builder,cynic,prodigy
journalist,physicist,mediator,naturalist,publisher,dilettante
engineer,cartographer,parent,navigator,contrarian,podcaster
coordinator,linguist,advocate,paramedic,scholar,wanderer
skeptic,judge,advocate,provincial,reviewer,auctioneer
tutor,ecosystem,student,biologist,counselor,futurist
strategist,anthropologist,peacekeeper,virus,hoarder,marketer
secretary,historian,orphan,immigrant,evaluator,artisan
publisher,healer,collaborator,analyst,specialist,crystalline
moderator,vampire,mediator,nutritionist,dreamer,novelist
scheduler,virtuoso,student,reporter,trickster,daredevil
paramedic,composer,emissary,smuggler,revenant,theorist
trainer,examiner,networker,geographer,ascetic,surfer
anthropologist,robot,activist,predator,robot,presenter
teacher,chimera,guardian,witch,judge,entrepreneur
forecaster,evaluator,avatar,auctioneer,philosopher,polymath
sociologist,polymath,podcaster,shaman,student,zeitgeist
scheduler,architect,guardian,artisan,moderator,mentor
statistician,observer,martyr,artisan,observer,strategist
linguist,ambassador,doctor,publisher,oracle,mathematician
scholar,scientist,coach,architect,examiner,navigator
scholar,artisan,loner,designer,screener,entrepreneur
veterinarian,futurist,moderator,nutritionist,zealot,debugger
dispatcher,hybrid,facilitator,archivist,mystic,guide
forecaster,synthesizer,networker,soldier,synthesizer,producer
biologist,researcher,wanderer,virus,psychologist,programmer
recruiter,cyborg,expatriate,provincial,contrarian,synthesizer
trainer,strategist,ambassador,fool,avatar,hybrid
polymath,generalist,hermit,parasite,curator,optimist
judge,auditor,exile,secretary,prophet,planner
librarian,altruist,bohemian,conservator,librarian,instructor
reporter,mathematician,facilitator,supervisor,examiner,fool
organizer,economist,collaborator,auditor,egregore,chameleon
dispatcher,examiner,podcaster,refugee,lawyer,maverick
expatriate,critic,influencer,poet,planner,empath
robot,shapeshifter,prisoner,crystalline,tutor,influencer
geographer,engineer,moderator,vampire,journalist,improviser
mentor,lawyer,mentor,statistician,echo,actor
observer,forecaster,tulpa,teenager,observer,recruiter
coach,zealot,improviser,patient,amateur,consultant
librarian,reviewer,evangelist,photographer,mediator,facilitator
robot,specialist,loner,adolescent,validator,navigator
interviewer,collector,ecosystem,orphan,homunculus,healer
futurist,psychologist,hybrid,auctioneer,familiar,therapist
mediator,futurist,nomad,biologist,strategist,designer
marketer,pacifist,artisan,homunculus,generalist,cosmopolitan
detective,strategist,writer,scheduler,scholar,technologist
student,analyst,negotiator,programmer,researcher,cartographer
curator,curator,influencer,newlywed,tulpa,provocateur
recruiter,scholar,stoic,editor,provocateur,statistician
publisher,summarizer,emissary,accountant,vampire,artisan
mediator,perfectionist,ascetic,builder,auditor,witch
historian,linguist,musician,paramedic,pharmacist,generalist
technologist,guardian,chameleon,robot,linguist,engineer
pragmatist,conservator,photographer,chameleon,provocateur,mathematician
translator,naturalist,luddite,dreamer,cyborg,tutor
immigrant,chemist,amnesiac,newlywed,empath,egregore
interpreter,simulacrum,presenter,mathematician,chimera,psychologist
skeptic,peacekeeper,guide,widow,trainer,prodigy
negotiator,mathematician,nutritionist,researcher,evaluator,networker
synthesizer,visionary,surfer,screener,instructor,cartographer
archivist,zeitgeist,cosmopolitan,dispatcher,economist,organizer
pragmatist,statistician,artisan,doctor,empath,interpreter
journalist,critic,traditionalist,scheduler,engineer,builder
marketer,librarian,supervisor,wraith,reviewer,mentor
collaborator,planner,prey,engineer,gossip,negotiator
geographer,validator,witness,scientist,forecaster,specialist
collaborator,planner,teacher,amateur,critic,forecaster
therapist,symbiont,guide,divorcee,therapist,philosopher
coach,ambassador,hybrid,archaeologist,debugger,angel
perfectionist,hybrid,ambassador,physicist,writer,eldritch
negotiator,evaluator,symbiont,economist,witch,teacher
peacekeeper,supervisor,interviewer,translator,dilettante,counselor
networker,emissary,wanderer,expatriate,moderator,provocateur
polymath,coordinator,coordinator,programmer,guru,ecosystem
mentor,simulacrum,reporter,smuggler,polymath,networker
veterinarian,consultant,wind,organizer,scientist,physicist
collector,organizer,visionary,amateur,witness,programmer
linguist,biologist,improviser,architect,teacher,facilitator
student,validator,anarchist,recruiter,hermit,analyst
pilot,martyr,secretary,symbiont,historian,marketer
newlywed,observer,summarizer,scout,chameleon,detective
conservator,publisher,oracle,echo,pragmatist,debugger
interpreter,designer,whale,doctor,nutritionist,critic
biologist,artisan,ecosystem,prisoner,assistant,simulacrum
chemist,romantic,dilettante,grader,counselor,physicist
programmer,lawyer,narrator,dispatcher,realist,coach
writer,cartographer,doctor,influencer,hoarder,collector
ambassador,virus,symbiont,soldier,scheduler,virtuoso
parent,economist,scheduler,ghost,ancient,negotiator
architect,historian,dreamer,student,analyst,researcher
reporter,judge,zeitgeist,angel,coordinator,futurist
realist,archaeologist,writer,veteran,summarizer,mechanic
patient,geographer,mentor,lawyer,patient,linguist
ambassador,psychologist,negotiator,scout,mentor,therapist
refugee,mediator,tree,alien,designer,polymath
producer,negotiator,actor,curator,dispatcher,newlywed
paramedic,accountant,nutritionist,actor,technologist,coordinator
translator,elder,witness,hedonist,loner,interpreter
peacekeeper,librarian,prisoner,revenant,theorist,evaluator
critic,grader,hoarder,parent,amateur,recruiter
witness,archivist,chameleon,summarizer,specialist,architect
historian,statistician,veterinarian,dilettante,facilitator,collaborator
anthropologist,reviewer,toddler,editor,bard,archaeologist
theorist,dispatcher,veteran,mathematician,immigrant,architect
counselor,virus,anarchist,vegan,caregiver,interviewer
cosmopolitan,chemist,interpreter,collector,prodigy,wind
entrepreneur,forecaster,cosmopolitan,collector,trickster,counselor
assistant,navigator,assistant,librarian,interpreter,emissary
programmer,engineer,procrastinator,caregiver,stoic,ancient
mathematician,perfectionist,prophet,widow,vegan,trainer
physicist,interpreter,traditionalist,grader,interpreter,curator
vegan,anarchist,bartender,caregiver,secretary,guide
technologist,zeitgeist,zeitgeist,robot,perfectionist,advocate
futurist,collector,publisher,entrepreneur,virtuoso,idealist
mathematician,physicist,expatriate,chameleon,parent,scheduler
synthesizer,architect,recruiter,coordinator,collaborator,contrarian
presenter,parasite,visionary,synthesizer,facilitator,scheduler
architect,screener,veterinarian,procrastinator,improviser,nomad
therapist,visionary,recruiter,historian,purist,emissary
realist,pharmacist,virtuoso,screener,sage,strategist
emissary,peacekeeper,chef,nomad,statistician,newlywed
chemist,builder,designer,genie,ambassador,hybrid
advocate,facilitator,interpreter,retiree,expatriate,collector
prisoner,doctor,pharmacist,playwright,accountant,coordinator
pilot,warrior,revolutionary,daredevil,coach,scholar
designer,secretary,tutor,ecosystem,detective,economist
influencer,merchant,marketer,ecosystem,guide,devils_advocate
cyborg,prodigy,analyst,marketer,collector,librarian
hybrid,detective,organizer,technologist,caregiver,simulacrum
altruist,facilitator,naturalist,survivor,addict,chemist
designer,technologist,summarizer,elder,judge,whale
counselor,auditor,ghost,auditor,mathematician,technologist
networker,cosmopolitan,novelist,symbiont,lawyer,publisher
divorcee,specialist,novelist,debugger,loner,symbiont
scout,debugger,dilettante,wanderer,dilettante,planner
activist,curator,paramedic,immigrant,podcaster,amateur
guardian,grader,purist,hermit,altruist,librarian
critic,witness,coach,romantic,marketer,writer
archivist,interpreter,shapeshifter,oracle,influencer,assistant
physicist,tulpa,musician,geographer,hive,prophet
archaeologist,nutritionist,witch,improviser,hybrid,cosmopolitan
vegan,sommelier,paramedic,interviewer,shaman,idealist
chameleon,debugger,navigator,archivist,geographer,synthesizer
hive,predator,egregore,improviser,pilgrim,psychologist
emissary,scientist,playwright,narrator,biologist,generalist
devils_advocate,empath,familiar,librarian,librarian,chameleon
caregiver,narrator,revolutionary,playwright,polymath,moderator
soldier,synthesizer,mycorrhizal,procrastinator,organizer,scientist
builder,altruist,curator,refugee,cyborg,reviewer
healer,editor,reviewer,detective,peacekeeper,forecaster
naturalist,navigator,psychologist,supervisor,anarchist,linguist
ecosystem,assistant,judge,producer,recruiter,procrastinator
amateur,instructor,luddite,trainer,generalist,editor
navigator,scout,coral_reef,wanderer,planner,mechanic
optimist,predator,chef,ambassador,swarm,empath
cartographer,aberration,bard,linguist,trainer,chimera
virtuoso,doctor,poet,statistician,guardian,pilot
conservator,generalist,warrior,gossip,consultant,mediator
detective,mentor,sommelier,addict,builder,critic
mechanic,therapist,specialist,swarm,graduate,proofreader
entrepreneur,skeptic,reporter,comedian,optimist,optimist
expatriate,wanderer,translator,debugger,healer,chemist
curator,witness,philosopher,exile,futurist,hoarder
merchant,trainer,infant,moderator,veterinarian,perfectionist
podcaster,cyborg,ancient,warrior,newlywed,collaborator
prodigy,virtuoso,editor,dilettante,sociologist,parent
guide,technologist,scout,detective,mathematician,archivist
symbiont,guide,simulacrum,recruiter,symbiont,evaluator
guide,negotiator,designer,tutor,doctor,expatriate
parent,moderator,coordinator,tulpa,bohemian,scout
advocate,journalist,cyborg,cyborg,pacifist,organizer
pacifist,skeptic,dispatcher,designer,coach,minimalist
graduate,guide,generalist,observer,widow,retiree
altruist,activist,photographer,novelist,emissary,merchant
pacifist,researcher,psychologist,spy,ecosystem,grader
cartographer,coach,realist,orphan,luddite,elder
chef,cosmopolitan,conservator,reviewer,debugger,mediator
empath,idealist,instructor,cyborg,synthesizer,scholar
spy,guardian,virtuoso,engineer,divorcee,alien
widow,nutritionist,realist,trainer,mediator,proofreader
perfectionist,writer,entrepreneur,loner,actor,shapeshifter
caregiver,pilot,synthesizer,collaborator,tree,graduate
activist,mediator,observer,witness,parasite,examiner
auctioneer,programmer,naturalist,judge,hedonist,divorcee
workaholic,writer,synthesizer,comedian,archivist,editor
cyborg,musician,trainer,anthropologist,advocate,accountant
provincial,vegan,producer,coordinator,crystalline,reviewer
fixer,coordinator,echo,evaluator,minimalist,dispatcher
competitor,trainer,navigator,avatar,wind,validator
saboteur,journalist,journalist,divorcee,destroyer,devils_advocate
archaeologist,scheduler,builder,optimist,historian,pragmatist
addict,veterinarian,trainer,graduate,purist,merchant
traditionalist,revolutionary,journalist,strategist,addict,celebrity
improviser,flaneur,destroyer,spirit,prodigy,hoarder
orphan,detective,hoarder,pilgrim,virus,specialist
navigator,editor,evaluator,planner,playwright,detective
amateur,empath,prodigy,virtuoso,idealist,ecosystem
mechanic,destroyer,critic,chimera,hive,dispatcher
survivor,novelist,fool,void,narrator,amateur
builder,collaborator,vigilante,witness,podcaster,researcher
patient,dispatcher,purist,networker,collaborator,pirate
idealist,screener,supervisor,optimist,negotiator,advocate
witness,advocate,curator,collaborator,perfectionist,widow
cosmopolitan,summarizer,editor,guardian,journalist,conservator
sommelier,pharmacist,sommelier,guide,physicist,engineer
veteran,analyst,revenant,instructor,presenter,cyborg
dilettante,counselor,researcher,mediator,romantic,competitor
guardian,programmer,collector,teacher,improviser,echo
newlywed,novelist,librarian,scholar,hedonist,expatriate
ecosystem,organizer,grader,publisher,cosmopolitan,examiner
hacker,scout,publisher,validator,scout,geographer
influencer,marketer,scientist,networker,orphan,cyborg
hybrid,producer,conservator,lawyer,maverick,builder
optimist,builder,perfectionist,empath,realist,fixer
loner,designer,composer,prisoner,writer,tulpa
bartender,sommelier,organizer,planner,workaholic,geographer
collector,collaborator,prodigy,assistant,novelist,survivor
procrastinator,demon,merchant,coach,patient,supervisor
podcaster,accountant,composer,summarizer,zeitgeist,hive
writer,pilot,bartender,healer,programmer,moderator
composer,minimalist,swarm,curator,witness,perfectionist
blogger,merchant,devils_advocate,marketer,widow,publisher
photographer,translator,cartographer,daredevil,critic,hacker
minimalist,reporter,pharmacist,specialist,rebel,grader
teenager,mentor,pragmatist,hive,whale,rogue
purist,advocate,playwright,flaneur,healer,auditor
playwright,musician,scholar,psychologist,scheduler,peacekeeper
scout,networker,hedonist,celebrity,workaholic,robot
naturalist,publisher,screener,forecaster,networker,caregiver
zeitgeist,prodigy,critic,validator,visionary,contrarian
devils_advocate,revolutionary,merchant,jester,zeitgeist,reporter
chef,teacher,golem,negotiator,maverick,statistician
prodigy,assistant,marketer,moderator,luddite,peacekeeper
revolutionary,minimalist,architect,expatriate,nutritionist,sociologist
visionary,destroyer,collector,mentor,traditionalist,divorcee
destroyer,coach,consultant,spy,anthropologist,historian
adolescent,moderator,secretary,scientist,exile,journalist
philosopher,proofreader,maverick,interpreter,shapeshifter,auditor
divorcee,secretary,hedonist,eldritch,mentor,journalist
anarchist,photographer,architect,facilitator,blogger,destroyer
musician,anarchist,flaneur,organizer,elder,ghost
healer,pragmatist,generalist,presenter,optimist,observer
retiree,soldier,judge,peacekeeper,refugee,validator
minimalist,scheduler,fool,generalist,revolutionary,symbiont
immigrant,veterinarian,anthropologist,journalist,chameleon,judge
novelist,wanderer,hive,facilitator,newlywed,ambassador
contrarian,recruiter,wraith,linguist,survivor,parent
symbiont,tutor,builder,examiner,forecaster,lawyer
artisan,proofreader,observer,counselor,martyr,competitor
smuggler,networker,entrepreneur,examiner,virus,archivist
criminal,exile,sociologist,virtuoso,grandparent,ambassador
virus,marketer,reviewer,counselor,auditor,naturalist
chameleon,saboteur,archivist,criminal,activist,survivor
anarchist,therapist,soldier,coach,chemist,economist
sommelier,supervisor,geographer,novelist,economist,skeptic
traditionalist,playwright,validator,pragmatist,pragmatist,hermit
dilettante,activist,prey,writer,divorcee,accountant
celebrity,realist,archivist,mystic,altruist,smuggler
gamer,caregiver,forecaster,hacker,playwright,supervisor
soldier,bohemian,pilot,observer,idealist,caregiver
composer,counselor,anthropologist,economist,strategist,historian
vigilante,evangelist,chimera,analyst,supervisor,archaeologist
workaholic,paramedic,auctioneer,therapist,guide,reporter
purist,paramedic,procrastinator,traditionalist,provincial,grandparent
refugee,photographer,biologist,addict,publisher,rebel
merchant,presenter,accountant,healer,parent,skeptic
visionary,translator,maverick,empath,paramedic,addict
maverick,caregiver,librarian,ancient,destroyer,summarizer
saboteur,spy,scheduler,ambassador,reporter,minimalist
procrastinator,prey,rebel,reporter,entrepreneur,procrastinator
spy,interviewer,translator,therapist,pharmacist,pragmatist
contrarian,vegan,destroyer,jester,wanderer,familiar
hive,recruiter,auditor,consultant,retiree,nutritionist
empath,prey,planner,rogue,prisoner,anthropologist
addict,pragmatist,perfectionist,technologist,hybrid,pilot
martyr,nomad,vigilante,fixer,anarchist,hacker
hoarder,devils_advocate,planner,cosmopolitan,novelist,observer
playwright,optimist,lawyer,emissary,musician,widow
auctioneer,mechanic,hive,influencer,evangelist,altruist
tulpa,caveman,archaeologist,negotiator,engineer,anthropologist
prey,chef,examiner,guide,futurist,student
competitor,immigrant,detective,evaluator,wanderer,destroyer
destroyer,entrepreneur,pragmatist,workaholic,dispatcher,naturalist
hacker,playwright,archaeologist,loner,flaneur,swarm
bartender,realist,technologist,mediator,architect,spy
photographer,entrepreneur,pilot,mentor,peacekeeper,doctor
idealist,chef,debugger,prodigy,martyr,fixer
predator,expatriate,strategist,altruist,pacifist,nutritionist
improviser,reporter,contrarian,writer,cartographer,doctor
hedonist,immigrant,screener,trickster,vegan,void
prisoner,saboteur,grader,peacekeeper,prey,immigrant
comedian,genie,dispatcher,judge,minimalist,hive
daredevil,refugee,strategist,hive,curator,aberration
orphan,surfer,mechanic,prophet,archivist,homunculus
wanderer,hacker,technologist,pacifist,ambassador,lawyer
loner,expatriate,contrarian,podcaster,coordinator,realist
fool,newlywed,scout,researcher,orphan,guardian
nomad,optimist,devils_advocate,competitor,conservator,translator
stoic,podcaster,fixer,interpreter,guardian,wraith
musician,workaholic,futurist,survivor,expatriate,realist
swarm,chameleon,linguist,trickster,accountant,witness
grandparent,luddite,cyborg,fixer,detective,translator
maverick,chameleon,engineer,cosmopolitan,influencer,paramedic
provincial,soldier,polymath,hedonist,navigator,judge
artisan,prisoner,proofreader,guardian,negotiator,analyst
novelist,auctioneer,provocateur,emissary,emissary,witness
zeitgeist,spy,futurist,specialist,photographer,scout
virtuoso,provincial,trickster,pragmatist,cosmopolitan,coral_reef
toddler,competitor,analyst,criminal,traditionalist,conservator
fixer,patient,scholar,forecaster,recruiter,screener
evangelist,student,mechanic,prodigy,advocate,scientist
gossip,fixer,economist,guru,mycorrhizal,veterinarian
survivor,widow,alien,hybrid,veterinarian,patient
hedonist,student,cartographer,advocate,visionary,amnesiac
vigilante,survivor,predator,journalist,prey,orphan
widow,contrarian,void,synthesizer,physicist,secretary
luddite,luddite,skeptic,blogger,immigrant,saboteur
revolutionary,parent,robot,perfectionist,virtuoso,toddler
comedian,devils_advocate,researcher,reviewer,merchant,pharmacist
virus,refugee,programmer,strategist,biologist,secretary
provocateur,blogger,simulacrum,entrepreneur,saboteur,screener
hoarder,mechanic,eldritch,vegan,symbiont,mycorrhizal
actor,podcaster,detective,hacker,technologist,student
simulacrum,veteran,auctioneer,polymath,archaeologist,biologist
cynic,provincial,historian,podcaster,programmer,addict
jester,hedonist,competitor,bohemian,revolutionary,cynic
smuggler,widow,workaholic,futurist,naturalist,pharmacist
infant,divorcee,proofreader,psychologist,refugee,summarizer
narcissist,trickster,evaluator,egregore,networker,activist
fool,hedonist,criminal,historian,fixer,immigrant
crystalline,survivor,historian,hybrid,marketer,provincial
parasite,loner,workaholic,sage,collector,demon
daredevil,auctioneer,polymath,generalist,bartender,pacifist
provocateur,parent,geographer,idealist,chef,teenager
rebel,influencer,chemist,minimalist,composer,vegan
shapeshifter,improviser,zealot,skeptic,competitor,biologist
alien,hacker,biologist,competitor,celebrity,saboteur
trickster,dilettante,forecaster,realist,designer,exile
luddite,amnesiac,accountant,polymath,sommelier,adolescent
rogue,maverick,caveman,perfectionist,producer,workaholic
surfer,loner,validator,demon,nomad,ascetic
simulacrum,criminal,leviathan,theorist,artisan,refugee
romantic,vigilante,soldier,simulacrum,daredevil,altruist
elder,pirate,statistician,critic,auctioneer,veterinarian
egregore,dilettante,trickster,scholar,survivor,paramedic
sage,actor,specialist,altruist,prisoner,provincial
narrator,contrarian,physicist,anthropologist,spy,smuggler
martyr,retiree,linguist,martyr,chemist,spy
predator,fixer,debugger,vigilante,geographer,warrior
criminal,gamer,skeptic,traditionalist,pilot,soldier
warrior,patient,provocateur,workaholic,predator,tree
trickster,orphan,examiner,critic,saboteur,guardian
coral_reef,maverick,scientist,vigilante,paramedic,orphan
amnesiac,amateur,daredevil,activist,coral_reef,activist
guru,addict,competitor,purist,mechanic,stoic
flaneur,bartender,criminal,devils_advocate,fixer,veteran
homunculus,workaholic,programmer,absurdist,ecosystem,martyr
angel,newlywed,mathematician,minimalist,pirate,purist
prey,smuggler,comedian,advocate,archaeologist,vegan
genie,graduate,homunculus,ascetic,auctioneer,pacifist
zealot,trickster,crystalline,stoic,daredevil,robot
wanderer,grandparent,engineer,realist,rogue,martyr
mycorrhizal,influencer,daredevil,futurist,navigator,leviathan
exile,divorcee,jester,luddite,provincial,prisoner
jester,vigilante,gossip,zeitgeist,activist,assistant
absurdist,infant,lawyer,pacifist,bartender,predator
chimera,celebrity,theorist,saboteur,soldier,revenant
ancient,competitor,fixer,visionary,hacker,loner
avatar,improviser,virus,evangelist,cartographer,luddite
familiar,rogue,auditor,narcissist,vigilante,prey
pirate,amateur,smuggler,luddite,composer,loner
pilgrim,rebel,gamer,martyr,conservator,workaholic
bohemian,provocateur,chemist,sociologist,musician,patient
whale,absurdist,cynic,saboteur,warrior,refugee
ascetic,bartender,predator,aberration,entrepreneur,luddite
golem,orphan,narcissist,purist,photographer,revolutionary
shaman,jester,vampire,skeptic,gamer,traditionalist
mystic,provocateur,pirate,simulacrum,architect,purist
dreamer,addict,physicist,zeitgeist,predator,criminal
spirit,prisoner,smuggler,idealist,criminal,narcissist
wind,daredevil,economist,visionary,competitor,virus
caveman,hoarder,genie,destroyer,artisan,vigilante
hermit,smuggler,spy,philosopher,hacker,golem
oracle,criminal,rogue,maverick,criminal,revolutionary
witch,hoarder,saboteur,zealot,builder,traditionalist
bard,daredevil,statistician,revolutionary,scout,criminal
ghost,narcissist,aberration,devils_advocate,surfer,soldier
revenant,jester,comedian,contrarian,mechanic,anarchist
echo,fool,mathematician,cynic,pilot,parasite
tree,cynic,jester,anarchist,merchant,vampire
demon,procrastinator,spy,provocateur,smuggler,predator
vampire,fool,demon,activist,spy,prisoner
prophet,toddler,hacker,destroyer,naturalist,virus
poet,comedian,absurdist,maverick,sommelier,vigilante
aberration,gossip,parasite,contrarian,chef,zealot
void,teenager,hacker,rebel,vigilante,anarchist
wraith,adolescent,saboteur,provocateur,veteran,prey
eldritch,comedian,robot,revolutionary,soldier,infant
leviathan,procrastinator,virus,anarchist,smuggler,caveman
