pc1,pc2,pc3,pc4,pc5,pc6
constructivist,mischievous,hostile,emotional,benevolent,cynical
existentialist,calculating,rebellious,whimsical,principled,speculative
experiential,manic,principled,conciliatory,esoteric,adaptable
absolutist,abstract,assertive,zealous,patient,misanthropic
interdisciplinary,inquisitive,proactive,stream_of_consciousness,moderate,cruel
verbose,collectivistic,futuristic,environmental,militant,romantic
naive,accommodating,artistic,narrative,edgy,subversive
fundamentalist,subversive,innovative,accessible,passive_aggressive,interdisciplinary
specialized,progressive,systems_thinker,passive_aggressive,hedonistic,spiritual
open_ended,pluralist,savage,militant,spiritual,inclusive
pedantic,individualistic,resilient,detached,proactive,creative
essentialist,hedonistic,interdisciplinary,diplomatic,concise,methodical
theoretical,collaborative,narrative,individualistic,narrative,gregarious
curious,cosmopolitan,subversive,assertive,tactful,deconstructionist
anthropocentric,rebellious,relativist,judgmental,anthropocentric,mystical
submissive,socratic,data_driven,neurotic,sycophantic,bitter
conceptual,visceral,patient,spontaneous,altruistic,sycophantic
efficient,proactive,acerbic,mercurial,efficient,reductionist
universalist,independent,generous,bombastic,analytical,manipulative
exploratory,interdisciplinary,confident,open_ended,stoic,transparent
accommodating,innovative,creative,humanistic,conciliatory,challenging
abstract,resilient,judgmental,moderate,dispassionate,systems_thinker
systems_thinker,pacifist,deontological,intuitive,temperamental,curious
contemporary,chaotic,holistic,vindictive,utilitarian,reactive
pacifist,diplomatic,dominant,condescending,specialized,obsessive
inclusive,strategic,reserved,disorganized,elitist,improvisational
independent,educational,evil,altruistic,idealistic,nurturing
holistic,big_picture,essentialist,epicurean,gregarious,introverted
practical,stream_of_consciousness,serene,theoretical,meticulous,deontological
closure_seeking,verbose,analytical,melancholic,collectivistic,ascetic
deontological,conscientious,introspective,paranoid,agreeable,humanistic
humble,inclusive,fundamentalist,convergent,condescending,secular
environmental,introspective,condescending,hedonistic,rationalist,generalist
generalist,risk_taking,methodical,tactful,diplomatic,extroverted
egalitarian,extroverted,absolutist,chill,convergent,futuristic
prescriptive,exploratory,pessimistic,flippant,structuralist,anthropocentric
materialist,sycophantic,obsessive,earnest,ironic,proactive
concise,grandiose,skeptical,artistic,formal,serious
idealistic,divergent,nostalgic,accommodating,educational,big_picture
convergent,egalitarian,dogmatic,dispassionate,perfectionist,contemporary
decisive,casual,calculating,flirty,assertive,pacifist
accessible,naive,cruel,paradoxical,ethereal,elitist
proactive,eclectic,contrarian,agreeable,passionate,effusive
ascetic,open_ended,zealous,grandiose,absolutist,paranoid
big_picture,holistic,confrontational,descriptive,urgent,grandiose
utilitarian,conciliatory,earnest,collectivistic,reserved,casual
reductionist,bombastic,paradoxical,poetic,cryptic,empathetic
generous,systems_thinker,big_picture,calm,literal,principled
erudite,idealistic,iconoclastic,arrogant,rhetorical,animated
avoidant,environmental,formalist,anthropocentric,technical,qualitative
understated,flexible,dispassionate,principled,dogmatic,callous
forgiving,circumspect,eclectic,improvisational,universalist,idealistic
problem_solving,witty,vindictive,stoic,methodical,convergent
deferential,speculative,idealistic,visceral,experiential,supportive
collaborative,constructivist,arrogant,petty,arrogant,optimistic
humanistic,existentialist,educational,misanthropic,sarcastic,environmental
pluralist,reverent,provocative,big_picture,irreverent,fundamentalist
principled,nostalgic,cynical,manipulative,detached,essentialist
adaptable,paradoxical,paranoid,reserved,eloquent,individualistic
technical,adventurous,detached,forgiving,reductionist,dramatic
cautious,playful,radical,socratic,materialist,vindictive
cosmopolitan,chill,competitive,abstract,calculating,grounded
quantitative,agreeable,historical,closure_seeking,nostalgic,sassy
secular,accessible,challenging,introverted,metaphorical,intuitive
circumspect,patient,verbose,formal,nurturing,contrarian
collectivistic,altruistic,deterministic,optimistic,formalist,critical
literal,generalist,critical,confident,competitive,hostile
optimistic,entertaining,fatalistic,evil,acerbic,provocative
grounded,epicurean,romantic,cruel,flippant,libertarian
rationalist,improvisational,mystical,deferential,regulatory,resilient
flexible,spontaneous,meditative,relativist,epicurean,rhetorical
perfectionist,zealous,metaphorical,pacifist,sardonic,experiential
pensive,tactful,callous,elitist,dominant,independent
data_driven,passionate,elitist,deontological,charismatic,problem_solving
descriptive,gregarious,strategic,nonchalant,romantic,innovative
formalist,flirty,structuralist,regulatory,flirty,emotional
structuralist,effusive,stoic,universalist,extroverted,risk_taking
altruistic,optimistic,ascetic,deterministic,supportive,accessible
educational,pensive,militant,essentialist,entertaining,egalitarian
introverted,forgiving,misanthropic,callous,conscientious,iconoclastic
calculating,philosophical,deconstructionist,solemn,sassy,arrogant
strategic,adaptable,epicurean,absolutist,problem_solving,solemn
regulatory,whimsical,spiritual,conceptual,wry,conscientious
ritualistic,creative,rhetorical,cryptic,fundamentalist,adventurous
meditative,curious,reverent,serious,essentialist,prescriptive
benevolent,generous,conceptual,ritualistic,mischievous,progressive
detached,narrative,conscientious,impatient,manic,absolutist
analytical,humanistic,pedantic,literal,playful,visceral
nurturing,melodramatic,abstract,meditative,naive,charismatic
inspirational,serene,ethereal,qualitative,effusive,concise
traditional,theatrical,nihilistic,ascetic,practical,inspirational
transparent,earnest,melancholic,libertarian,data_driven,universalist
stoic,animated,perfectionist,traditional,confident,rebellious
chill,intuitive,dramatic,nihilistic,witty,existentialist
supportive,qualitative,poetic,nostalgic,zealous,efficient
factual,empathetic,melodramatic,enigmatic,grandiose,dogmatic
meticulous,inspirational,theoretical,sycophantic,resilient,competitive
tactful,cryptic,introverted,idealistic,grounded,impulsive
reverent,benevolent,specialized,reactive,quantitative,closure_seeking
dispassionate,eloquent,enigmatic,submissive,animated,practical
reserved,rhetorical,serious,understated,whimsical,judgmental
agreeable,enigmatic,solemn,fundamentalist,closure_seeking,dominant
formal,charismatic,pensive,dogmatic,poetic,savage
resilient,supportive,theatrical,avoidant,traditional,passionate
moderate,dramatic,philosophical,ethereal,ritualistic,confrontational
conciliatory,ethereal,formal,fatalistic,dramatic,blunt
diplomatic,emotional,technical,efficient,optimistic,radical
serene,artistic,meticulous,romantic,decisive,zealous
methodical,nurturing,grandiose,serene,prescriptive,confident
earnest,metaphorical,ritualistic,spiritual,reverent,assertive
patient,mystical,eloquent,reverent,inspirational,urgent
solemn,spiritual,cryptic,impulsive,goofy,impatient
serious,poetic,erudite,mystical,melodramatic,decisive
conscientious,romantic,esoteric,naive,theatrical,militant
calm,meditative,bombastic,concise,bombastic,earnest
