feature_id,header_mean_activation,you_mean_activation,combined_mean,header_active_prompts,you_active_prompts,claude_desc
128007,6.239165306091309,3.735823154449463,4.987494230270386,662,326,"Technical terminology from scientific, engineering, medical, and computing fields, often appearing in sequences describing specifications, components, or measurements."
81156,4.43914270401001,4.11517858505249,4.27716064453125,554,246,"Geographical or organizational entities that represent specific locations, regions, or administrative entities, often appearing with descriptive terms such as ""Conservation Area,"" ""Basin,"" ""East,"" ""West,"" or other directional/administrative designations."
78349,4.434607982635498,3.844086408615112,4.139347195625305,681,345,"Technical terminology describing physical components, particularly mechanical parts that enable movement, articulation, or rotation in various systems including machines, biological structures, and vehicles."
88838,5.780200481414795,2.3233954906463623,4.051797986030579,643,184,"Technical language related to programming, medical, or engineering contexts - specifically terms referring to code elements, data structures, computer components, medical measurements, or technical specifications."
103126,3.41198205947876,4.537328243255615,3.974655151367188,465,329,"Legal terminology regarding ""ineffective assistance of counsel"" claims in post-conviction proceedings, appearing alongside various domain-specific technical terms in programming, scientific research, and statistical analysis contexts."
123110,2.6364126205444336,5.139360904693604,3.8878867626190186,356,250,"Special tokens that mark document structure or formatting, including beginning-of-sequence markers, punctuation, and whitespace characters that appear at section transitions."
122764,3.566678524017334,4.037419319152832,3.802048921585083,410,150,"Opening syntax of code files and documentation blocks, typically consisting of comment markers, license headers, or import/include statements at the beginning of source files."
80134,3.555255651473999,3.9946036338806152,3.774929642677307,370,225,"Terms referring to artificial intelligent entities such as robot, android, automaton, AI, cyborg, or mechanical life form - often described with technical features, programming elements (like directives), or characterized as machines that have human-like capabilities."
4385,4.586299896240234,2.7402772903442383,3.663288593292236,657,264,"Technical notation including mathematical expressions, code variables, scientific symbols, and specialized terminology that appears in structured technical or academic documents."
45315,4.586339473724365,2.6007888317108154,3.5935641527175903,491,251,"Text that introduces or transitions to new actions, content, or explanations, often appearing before colons or directional words like ""here"", ""below"", or other indicators of something that follows. These phrases often connect previous content to what comes next."
63154,4.449843883514404,2.6632559299468994,3.556549906730652,530,187,"Text elements that represent domain-specific terminology within structured content such as lists, tables, or specialized documentation across fields like food, sports, medicine, and technology."
22994,2.333554983139038,4.722392082214356,3.5279735326766968,257,286,"Online publishing or content sharing platforms where people post, share, or discuss content, often appearing in website navigation or metadata contexts."
47200,1.9002491235733032,5.146555423736572,3.5234022736549377,250,321,"These tokens represent answers or responses in educational or Q&A contexts, particularly appearing in multiple-choice questions where the token often indicates the correct option, or as part of introductory phrases for answers and explanations."
43247,3.073446989059448,3.654585838317871,3.36401641368866,553,179,"Common grammatical function words that establish relationships between parts of sentences, including auxiliary verbs, linking verbs, conjunctions, and articles."
110358,6.026913642883301,0.6564264297485352,3.341670036315918,491,54,"Quotation marks or empty string markers in localization files for a Croatian version of Facebook's Account Kit, alongside literary content like poem titles and openings."
68864,3.511406660079956,2.803349494934082,3.157378077507019,461,146,"Chemical formulas, numerical subscripts, and technical notation (particularly NH4, NO3, N) in scientific contexts, often appearing alongside statistical data (p-values) and clinical outcomes (mortality, hospitalization)."
80823,0.107561782002449,6.041597366333008,3.0745795741677284,4,241,"Special punctuation and notation in technical, legal, or scientific contexts - including decimal points, hyphens, reference markers, periods in acronyms, date formats, programming/code elements, and citation formatting."
45426,2.249039649963379,3.884708881378174,3.0668742656707764,267,302,"Terms related to possession, transformation, or existence in various forms - including souls, spirits, fragments, or consciousness that can inhabit, transform into, or transfer between different physical vessels, bodies, or objects."
49536,5.810842514038086,0.0110935708507895,2.9109680424444377,696,1,"Connecting words, punctuation, and phrases that create logical flow between ideas, establish relationships between concepts, or complete grammatical constructions in technical and informational text."
36963,3.992997407913208,1.491058349609375,2.7420278787612915,395,128,"Common nouns referring to physical objects or entities that can contain, hold, or support something - including plates, dinner tables, toys, houses, pasta, sea, mountains, trees, cells - often appearing in figurative or game-related contexts."
122631,3.84243106842041,1.331490159034729,2.5869606137275696,565,139,"Technical terminology in scientific contexts, particularly chemical compounds, experimental components, and specialized mathematical or biological notation."
89132,2.3485195636749268,2.8073673248291016,2.577943444252014,328,218,"HTML or Markdown link formatting elements in technical or academic documents, including closing tags, reference citations, and image/figure captions - particularly focusing on reference identifiers, hyperlink closing tags, or citation notation that appears at the end of linked content."
86639,2.4981801509857178,2.654973030090332,2.576576590538025,319,175,"Programming code elements and API references, particularly related to data processing, AWS services, and voice recognition technology."
83076,5.130064964294434,0.0060358168557286,2.568050390575081,513,1,Punctuation or special characters in technical or academic text that serve specific syntactic functions.
46319,3.63512110710144,1.4001553058624268,2.5176382064819336,396,107,"A special token ""<<<bos>>>"" that marks the beginning of a new document or text segment."
95856,1.8582444190979004,3.130659818649292,2.494452118873596,230,182,"Programming, mathematical, and formatting syntax terminators such as closing brackets, parentheses, HTML tags, and LaTeX document commands."
68824,4.656428813934326,0.1612118929624557,2.408820353448391,652,14,"A formatting pattern where "">>"" marks the beginning of new content blocks immediately following title/heading text that ends with ""<<""."
33349,1.6568410396575928,3.146171808242798,2.4015064239501958,268,184,"A special token that marks the beginning of a document or text sequence, indicating where the main content starts."
4314,0.3608596324920654,4.439093589782715,2.39997661113739,16,104,"Field and column names in database tables, particularly from SQL queries, entity relationships, class hierarchies, and data structure references."
6491,1.1697434186935425,3.618895769119263,2.3943195939064026,228,298,"Common text connectors, punctuation marks, and qualifying phrases that join concepts or introduce explanatory content in academic, scientific, and formal writing."
28520,0.2207465320825576,4.433599948883057,2.327173240482807,52,312,A special token marking the beginning of a new section or document in a corpus of text.
34988,0.0153097324073314,4.436689376831055,2.225999554619193,4,203,"Package/namespace identifiers and import path components in source code files, particularly for Java, C#, and similar languages."
45804,3.938799381256104,0.4647626280784607,2.201781004667282,603,41,"Technical terminology related to scientific objects, measurements, or classification systems, often appearing in research papers, technical documentation, or reference materials."
109889,0.0859739333391189,4.191225528717041,2.13859973102808,19,260,"References to brainwashing, controlling, or manipulating individuals or machines, often describing processes where one entity causes another to act against its nature or original programming."
127595,0.0067732282914221,4.232109069824219,2.1194411490578204,1,262,"Conversational openings and request formats in online communications, including greetings, direct address terms, and question formulations that precede requests for help or information."
99249,0.2302383482456207,3.980634212493897,2.1054362803697586,13,147,"Angular directive and component tags, database field references, and method names in coding environments, often identified by their specific syntax and structure (e.g., function names ending with ""Create"", ""Update"", ""Delete"", or class names like ""Registry"")."
59687,3.9338788986206055,0.2013366520404815,2.0676077753305435,395,19,"Method declarations with empty parameter lists, often marked by empty parentheses ""()"" in function/method signatures. These methods typically appear in API request classes, constructors, or utility functions across multiple programming languages (Java, PHP, JavaScript, C++, etc.)."
83124,4.1172943115234375,0.0060791764408349,2.061686743982136,582,1,"Objective-C syntax markers, particularly class implementation directives (@implementation) and method declaration syntax at the beginning of code blocks."
102202,1.5923376083374023,2.452958106994629,2.022647857666016,213,201,"Words and phrases indicating official directives, instructions, or individuals authorized to implement commands within a hierarchical structure."
17105,1.4632586240768433,2.572209119796753,2.017733871936798,157,155,"Technical details of structure and components in technical or scientific texts, often describing physical attributes, spatial relationships, or programming syntax in fields like biology, electronics, computer science, and engineering."
67146,3.8089616298675537,0.0184354726225137,1.9136985512450335,459,1,"Beginning of answers in Q&A formats, typically marked by ""A:"" or introductory words like ""If"", ""Yes"", or ""Well"", often with surrounding punctuation."
38961,0.0059312973171472,3.6944055557250977,1.8501684265211225,1,224,"Numbers and identifiers appearing in academic citation codes, web links, file references, and version numbers in digital documents, often appearing after prefixes like ""ijerph-"", ""pone."", or within document and license identifiers."
59496,1.78323233127594,1.8884021043777464,1.8358172178268437,258,187,"Functions or methods that read, write, or manipulate data/content, particularly in contexts of file operations, serialization, or string manipulation in programming code."
69629,1.5552719831466677,2.0791170597076416,1.8171945214271543,284,199,"Special characters in file paths (especially ""-"" in ""texmf-dist"") and numeric digits that appear in citation references (typically within brackets like ""[@pone.0114247"" where the digits are part of journal identifiers)."
87632,0.006291180383414,3.5218472480773926,1.7640692142304033,1,266,"Transitions or qualifying statements in text, often introducing exceptions, clarifications, or connecting ideas between sentences. These commonly appear as phrases like ""but"", ""however"", ""I know that"", ""and so"", or similar connective language that maintains the flow of an argument or explanation."
60138,3.467967748641968,0.0493019595742225,1.7586348541080952,639,7,"Table row or line data typically representing the beginning of a new entry in structured tabular content, often following formatting patterns with numbers, measurements, or categorical data."
43545,0.4577239155769348,2.9866771697998047,1.7222005426883698,81,212,"References to the finite speed of light and how it affects our perception of distant objects, especially in scientific or technical contexts."
37853,3.030913114547729,0.4007115960121155,1.7158123552799225,482,55,"Standard document section headings (like ""External links"", ""References"", ""Methods"") that organize information at the end of articles or in academic papers."
9087,0.3374238610267639,3.0060129165649414,1.6717183887958529,63,244,"Technical terms related to software, programs or digital tools, often accompanied by descriptive phrases about what they do or how they function."
26239,3.3129751682281494,0.014843363314867,1.6639092657715082,565,2,"Special characters that denote line breaks or separators in technical documents, mathematical formulas, code examples, and data tables."
46280,1.1839252710342407,2.107820510864258,1.6458728909492493,208,190,"Language that appears in formal or technical documents, often marking section transitions, legal terminology, patent descriptions, academic citations, or formulaic expressions common in scholarly, legal, or technical writing."
74980,3.136147975921631,0.0134913250803947,1.5748196505010128,322,2,"Structural markers that format or introduce programming output, code syntax elements, or formal document sections."
58870,2.2856876850128174,0.8383631110191345,1.562025398015976,275,69,"Words that introduce explanatory details or clarifications in technical or formal writing, often followed by a more detailed description or explanation."
115455,1.605864644050598,1.4614228010177612,1.5336437225341797,198,107,"References to artificial intelligence, its capabilities, and technical implementations in academic, news, or technical contexts."
69711,1.4171587228775024,1.559646725654602,1.4884027242660522,213,172,"Language describing indirect, cautious or strategic communication techniques used to navigate difficult or sensitive situations."
74489,2.940513610839844,0.0311309695243835,1.4858222901821136,409,3,"Leading characters at the beginning of lines that serve as markers in structured text, particularly in code diffs, quotations, or document formatting."
130619,1.731281876564026,1.2254531383514404,1.4783675074577332,274,151,"Syntax elements, delimiters, and formatting markers in programming code, configuration files, and technical documentation."
62961,2.536309003829956,0.4113739132881164,1.4738414585590365,361,58,"Short expressions or function words that introduce qualification, explanation, or negation in a statement. Often follows pronouns or appears at sentence breaks, sometimes preceding commas or periods."
32850,0.0498583614826202,2.81879997253418,1.4343291670084,5,229,"Common connecting words, phrase completers, and punctuation marks that create cohesion between clauses in natural language text."
54729,2.8301055431365967,0.0060024345293641,1.4180539888329804,180,1,"Punctuation and formatting markers for text in various languages, particularly involving newline characters, quotation marks, apostrophes, and hyphens that appear in programming code examples, forum conversations, and technical documentation."
87638,0.9935497045516968,1.8220007419586184,1.4077752232551577,145,126,"Technical terminology in academic or scientific texts, often showing chemical compounds, materials, processes, or historical information with dates and locations."
74580,2.410892963409424,0.3901144862174988,1.4005037248134613,403,47,"The ""bos"" token (beginning of sequence) that marks the start of a new document or content section."
63132,0.0221059583127498,2.7766144275665283,1.399360192939639,2,259,"Sentence-ending or clause-ending punctuation marks that separate syntactic units or conclude statements, questions, or quotations."
105870,0.1447301059961319,2.6163995265960693,1.3805648162961006,32,275,"Empty spaces, punctuation marks, and programming identifiers that serve as structural elements in code, HTML, XML, legal citations, and technical documents."
110299,1.7904341220855713,0.9564033150672911,1.3734187185764313,327,115,"Programming code syntax elements across multiple languages, particularly focusing on class definitions, function declarations, import statements, and language-specific structural elements."
114388,2.055454969406128,0.6846285462379456,1.3700417578220367,324,67,"Code block or structural element termination syntax, including closing braces, end statements, closing tags, or section delimiters that mark the end of a defined programming or document structure."
73618,0.5416475534439087,2.1575798988342285,1.3496137261390686,59,116,"Technical terminology and specialized vocabulary from various domains including pharmaceuticals, computing, diplomacy, and scientific literature."
23481,1.6933846473693848,0.9881367087364196,1.3407606780529022,248,81,"A self-reference pronoun or word referring to the individual speaking, writing, or being addressed in the text. These include personal pronouns like ""me,"" ""myself,"" ""this"" (when referring to the object/code instance), ""your,"" and ""yours"" in contexts where someone is being directly addressed or referring to themselves."
105854,1.3642055988311768,1.2991613149642944,1.3316834568977356,178,125,"Coherent linguistic units (phrases, clauses, or connecting words) appearing in digital text content, often near punctuation or as part of technical/formal writing."
37317,0.3511095643043518,2.2525317668914795,1.3018206655979156,74,169,"URL and markup syntax elements including protocol identifiers (http://), domain separators (.), HTML attribute markers (href=""), file path references, and code syntax components in web and programming contexts."
34457,0.92167866230011,1.6714293956756592,1.2965540289878843,169,126,"Punctuation marks and transition words that connect ideas or organize content, particularly those that introduce new information or attribute text to sources."
70539,0.3430359363555908,2.242828607559204,1.2929322719573977,69,161,"First-person pronouns (I, we, you, m) and third-person pronouns (he, it) that refer to the author, speaker, or entity providing the text, typically in legal, professional, or formal documents where the pronoun indicates the voice or perspective of the writer/speaker addressing the reader."
48404,2.4504988193511963,0.1222200691699981,1.2863594442605972,413,19,"Technical or specialized terminology appearing in formal documents such as legal texts, scientific papers, or programming code."
65114,2.303013563156128,0.2626737654209137,1.2828436642885208,191,29,"Programming verification operations like sequencing validation checks, testing function calls (ping, version), and conditional return statements."
108481,1.1553847789764404,1.4098999500274658,1.2826423645019531,127,112,"Content that provides examples, tutorials, demonstrations, or instructions to users, often in an educational or informative context such as recipes, programming guides, or product usage information."
31928,0.2430387735366821,2.297785997390747,1.2704123854637146,10,77,"Special characters and syntax patterns from programming or technical text, especially those used in variable references, function calls, code syntax, mathematical notation, or system paths."
32928,1.662415623664856,0.7569215297698975,1.2096685767173767,303,85,"Technical references, citations, and identifiers in structured text, often appearing as numbers, abbreviations, or specialized terminology associated with punctuation marks like brackets or parentheses."
10555,1.5066747665405271,0.8951556086540222,1.2009151875972748,276,91,"Mathematical and programming notation, particularly exponents and numerical values in scientific or technical contexts."
28094,1.884636640548706,0.5148116946220398,1.199724167585373,253,65,"Words indicating cost status (like ""for"", ""no"", ""free"", ""costs"") in content discussing products, services or resources, along with legal/official language in disclaimers and status indicators."
115726,0.8577264547348022,1.5323224067687988,1.1950244307518003,147,151,"Message boundary markers in online communications, including signatures, punctuation, formatting dividers, and usernames that indicate where one message ends and another begins."
99597,1.3218269348144531,1.0196754932403564,1.1707512140274048,264,133,"First-person pronouns (I/We) at the beginning of sentences that introduce personal opinions, judgments, or experiences following factual or descriptive content."
32074,2.214291572570801,0.1112386435270309,1.162765108048916,377,13,"Empty spaces or whitespace appearing in various contexts, particularly between words in titles, adjacent to punctuation marks like quotations and apostrophes, or in code formatting."
78823,0.1465425640344619,2.136367082595825,1.1414548233151436,7,70,"Concrete nouns that refer to physical objects, locations, or specialized items within their domain contexts, often appearing at the end of phrases that describe a particular entity or concept."
52115,2.0692782402038574,0.2091895192861557,1.1392338797450066,298,21,"References to computing or digital resources including file handling, data downloading, computational processing, library resources, digital archives, source code, and computational execution in technical contexts."
47073,2.0611793994903564,0.2061732858419418,1.1336763426661491,189,18,"Text patterns indicating templating or code segments in technical documents, particularly involving the use of ""cat << END"" or similar heredoc syntax used in shell scripts or configuration files for generating text blocks."
117886,0.594942033290863,1.6544383764266968,1.12469020485878,90,175,"The selectors mark instances of confrontational, accusatory, or dismissive language in online discussions, often appearing in comments that challenge or criticize the previous speaker's credibility, intelligence or intentions. These markers frequently highlight ad hominem attacks, rhetorical questions with question marks, and attempts to delegitimize others' viewpoints through personal attacks rather than addressing the substance of arguments."
122757,1.0522489547729492,1.1919114589691162,1.1220802068710327,145,138,"Special characters and tokens in technical contexts, especially in code, mathematical notation, citations, and URIs."
87177,2.2214102745056152,0.0137296654284,1.1175699699670076,191,2,"HTML-related elements like file extensions (.html), tags (#), domain names (org, de), and formatting characters (quotes, commas) that appear in URLs, web content, or document references."
30806,1.7088578939437866,0.4950835704803467,1.1019707322120669,269,42,"Code fragments related to sending, receiving, or processing messages in various programming languages, including communication functions, message-related variables, and conversation handling."
48657,0.0351179428398609,2.1270618438720703,1.0810898933559656,3,204,"Fragments of names, technical terms, or identifiers that appear in academic papers, code documentation, or reference materials."
114026,1.9069712162017824,0.2354032099246978,1.07118721306324,267,30,"Common tokens that represent specific technical or conceptual terms across different domains, often appearing before punctuation or at transition points between different sections of text."
116405,1.3781816959381104,0.7129281759262085,1.0455549359321594,236,68,"Technical terminology and syntax elements in specialized contexts, particularly in code, scientific writing, mathematics, and technical documentation."
73680,0.3478200733661651,1.7265161275863647,1.037168100476265,47,124,"Variable names, function parameters, and technical terminology in code, scientific classifications, references, and API calls - often showing relationships between related technical elements like parent/child components or taxonomic hierarchies."
13478,0.120762899518013,1.9215233325958248,1.021143116056919,30,208,"Programming, mathematical, or technical punctuation that separates elements in structured text such as code, citations, data tables, or formal notation."
53729,0.9878482222557068,1.0415091514587402,1.0146786868572235,209,140,"Anonymous function declarations used in defer statements for tracing/instrumentation in Go code, typically containing logic to capture status codes and end tracing spans."
51330,0.7033476829528809,1.320207953453064,1.0117778182029724,92,82,"Terms describing physical containers or enclosures in scientific contexts, particularly experimental apparatus, sample chambers, or natural spaces with defined boundaries and dimensions."
75372,0.0687493830919265,1.9515776634216309,1.0101635232567787,15,149,"Introductory phrases in academic, technical, or legal documents that establish the purpose, scope, or subject matter of the work."
23642,0.2701711356639862,1.746423840522766,1.0082974880933762,33,128,"Technical markup elements, code syntax, and programming terminology appearing in software documentation, configuration files, and technical texts."
54411,0.0955038368701934,1.9138305187225344,1.0046671777963638,19,190,"Common function words that connect ideas or provide context in informational text, often appearing at transition points between concepts."
23402,0.1507060676813125,1.8413641452789309,0.9960351064801216,31,167,"References to technical or functional components (like experts, circuits, methods, functions, machines, units) that are being interacted with, queried, or passed information within specialized systems such as legal proceedings, software, or hardware architectures."
70685,0.6536605358123779,1.3342325687408447,0.9939465522766112,108,125,"Characters or short sequences that form part of structured text elements like citations, mathematical notation, dates, file paths, or reference markers in academic or technical documents."
125375,0.4724280536174774,1.504584789276123,0.9885064214468002,109,174,"Scientific or technical fields of study or specialized terminology related to academic, medical, or research domains, often appearing as part of article titles, abstracts, or professional descriptions."
53005,1.361378192901611,0.5995910167694092,0.9804846048355104,143,44,"Terms used to describe visual elements in scientific publications, particularly medical/research imagery, where arrows, highlights, or analytical methods draw attention to specific features that researchers want readers to focus on in figures, scans, or micrographs."
130821,1.925444483757019,0.0206105522811412,0.9730275180190802,263,2,"The response begins with ""You"" or a variation of a greeting phrase when providing helpful explanations to programming questions, often in a direct, instructive tone addressing the questioner."
52594,1.4698326587677002,0.4649685621261596,0.96740061044693,255,51,"Scientific terms related to peptides, amino acids, and protein sequences in biochemical research contexts, often describing molecular structures, composition analyses, or chemical modifications of biological molecules."
6301,0.6606058478355408,1.2683472633361816,0.9644765555858612,115,120,"References to technology and related terms (tech, programming, IT, ICT, software, etc.) in educational, research, and professional contexts, particularly discussing implementation, integration or applications of technology systems."
5873,1.8885984420776367,0.0063248882070183,0.9474616651423275,349,1,Metadata category tags in Wikipedia articles that classify content into specific taxonomic groupings for organizational purposes.
11288,0.185802474617958,1.7056574821472168,0.9457299783825874,39,193,"Abbreviations or full names of legal, medical, or governmental entities/institutions (like ""DOE"", ""U.S."", ""Court"", ""equity"", ""here"", ""Nurses"", ""rheumatologist""), often appearing in formal documents, court cases, or academic publications."
112406,1.8574007749557493,0.006831582635641,0.9321161787956952,373,1,"The highlighted terms indicate linking verbs (""is"", ""has"", ""was"", ""may"", ""based"", ""that"") or punctuation marks (commas, dashes) appearing right after a person's name, typically introducing a description of the person, their role, or their significance in the text."
82082,0.2653793096542358,1.5962955951690674,0.9308374524116516,44,189,"References to the medium, venue, or context through which information is being presented, processed, or evaluated - particularly in legal proceedings and digital media."
1800,1.828824520111084,0.0257619079202413,0.9272932140156628,247,3,"Character tokens that appear within document reference formatting patterns such as figure/table identifiers, citation markers, or special notation in academic and technical documents."
32766,0.0509542785584926,1.79832923412323,0.9246417563408612,12,178,"Personal pronouns appearing immediately before contractions (like I'd, we're, she was, you'll)."
103850,0.0050751939415931,1.8267937898635864,0.9159344919025898,1,137,"Technical entity names including company names, software products, programming libraries, and technical acronyms appearing in formal documentation or code."
39333,0.0771064832806587,1.7477548122406006,0.9124306477606297,13,170,"Phrases like ""anyone,"" ""anybody,"" ""someone,"" or ""you guys"" that are used in online forums or question posts to request help or information from readers."
120770,1.7132707834243774,0.1078519448637962,0.9105613641440868,275,13,"Code syntax elements including function bodies, method calls, variable references, and structural delimiters that are essential to programming language syntax."
103000,1.7137514352798462,0.1000706851482391,0.9069110602140428,313,14,"Common prepositions, articles, and conjunctions in scientific/technical text, particularly appearing in contexts with references, code snippets, or specialized formatting."
10521,1.6191425323486328,0.1779728978872299,0.8985577151179314,278,21,"Specialized formatting and technical syntax elements appearing in code, legal citations, documentation, and structured data formats."
50718,1.4285205602645874,0.3493038415908813,0.8889122009277344,152,36,"Technical terminology in specific domains as used in professional or academic contexts, often appearing in research papers, documentation, or specialized discussions."
92687,1.6740903854370115,0.0896969214081764,0.8818936534225941,283,12,"Transition points between different speakers or commenters in online conversations, typically marking where one person's text ends and another's begins."
9462,0.0504567772150039,1.6846506595611572,0.8675537183880806,5,112,"Beginning of sequence token that marks the start of a new document or section in text processing, often appearing at transitions between different content types."
38534,1.4002625942230225,0.3262798488140106,0.8632712215185165,181,45,"The token ""this"" or ""self"" referring to the current object instance in object-oriented programming languages."
73139,0.4948073029518127,1.23002028465271,0.8624137938022614,102,58,"Code comments and documentation markers that provide explanations, delimit code sections, or annotate functionality."
55830,0.2088561356067657,1.4935755729675293,0.8512158542871475,28,99,"Terminology related to biological research data annotation and analysis, particularly Gene Ontology (GO) terms, biological process descriptors, and research tools used in scientific papers."
86178,0.6265982985496521,1.0658228397369385,0.8462105691432953,134,153,"Technical terms and syntax elements appearing in structured content like wikis, code snippets, and mathematical problems."
122897,0.0462053902447223,1.6412782669067385,0.8437418285757303,7,162,"References to people providing voluntary or support services in organizations, including terms like ""volunteers,"" ""interns,"" ""assistants,"" and descriptions of their contributions or skills."
6395,0.1406058371067047,1.543009877204895,0.8418078571557999,27,129,"SSH debug level 1 log entries documenting key connection events, authentication attempts, and security operations."
112008,0.8855233788490295,0.7938112616539001,0.8396673202514648,143,90,"Period/dot, apostrophe, or colon characters that appear in URLs, chat logs, or structured text data like JSON, often marking the boundary between domain parts or introducing special syntax."
68120,1.114102125167847,0.5569478273391724,0.8355249762535095,199,69,"Common function words and grammatical markers in text, particularly definite articles, possessive forms, and numerical content that defines measurements or identifiers."
42561,1.3891451358795166,0.2694371938705444,0.8292911648750305,215,30,"The token ""1"" that begins a year date in historical texts, specifically when describing 19th century events."
89654,0.0323768034577369,1.623090386390686,0.8277335949242115,5,197,"Reference/citation tags in academic papers or technical documents, typically enclosed in curly brackets and containing identifiers like ""ref-type"", figure numbers, or equation references."
96417,0.0839211642742157,1.5682934522628784,0.8261073082685471,19,143,"Names of media outlets, publications, or news sources that are being cited or referenced in text content."
7484,1.582550287246704,0.061280257999897,0.8219152726233006,231,8,"Small connecting words and punctuation marks that appear in technical or academic writing contexts, often within citations, references, or specialized notation."
121541,0.933924436569214,0.70951908826828,0.821721762418747,162,106,"HTML and markup elements that structure web documents, including hyperlinks, section markers, formatting tags, and query syntax."
8910,1.335200309753418,0.3068786263465881,0.821039468050003,235,40,"Special characters, punctuation marks, and connecting words that serve as transition points or syntax elements in various types of text including code, technical documentation, and formatted content."
101608,0.2992889285087585,1.33935546875,0.8193221986293793,58,146,"Words describing digital security threats, online scams, fraudulent activities, and malicious communications in discussions about internet safety and cybersecurity concerns."
85411,0.1379348039627075,1.4980971813201904,0.818015992641449,30,95,"Special characters and tokens used in technical documentation, programming code, and scientific publication formatting, such as identifiers, delimiters, reference notations, and markup attributes."
7385,1.590966820716858,0.040883332490921,0.8159250766038895,310,6,"Common words that connect ideas or modify meanings in various contexts, including function words, time references, and relational terms."
62097,1.6098253726959229,0.0064970599487423,0.8081612163223326,157,1,"Programming constants, enumeration values, and UI strings in key-value pairs within configuration and localization files."
27406,0.0323485173285007,1.543787121772766,0.7880678195506334,7,168,"Media and communication format terms (games, film, television, radio, MRI, etc.) that identify the medium through which content is delivered or experienced."
107838,1.2409974336624146,0.3293929398059845,0.7851951867341995,159,26,"Common characters and symbols that appear in structured text such as blog posts about game development competitions, mathematical formulas, and online challenges."
38799,0.0043663959950208,1.5596413612365725,0.7820038786157966,1,96,"First words or phrases (like ""In,"" ""The,"" ""As,"" ""When"") that begin the main body content of news articles, blog posts, or legal documents, appearing after metadata such as titles, dates, and bylines."
24652,1.0965187549591064,0.455778419971466,0.7761485874652863,176,66,"The highlighted tokens represent proper names, specifically referring to institutions, organizations, companies, locations, or venues - such as research institutes, sports teams, theaters, libraries, cities, or publishing entities."
110281,0.983648717403412,0.5621234774589539,0.7728860974311829,152,60,"References to version information in source code, often as variables, constants, or macros in build scripts, config files, and project specifications."
40273,0.1857852488756179,1.3435028791427612,0.7646440640091896,23,66,"Explicit sexual content tokens in adult/pornographic text describing sexual acts, body parts, fluids, and related terminology, often appearing in erotic narratives or adult website descriptions."
74623,1.516358733177185,0.0058703920803964,0.7611145626287907,218,1,"Function and method names in programming code, particularly those with prefixes like ""acr_"" followed by descriptive identifiers that handle application functionality."
42249,0.0031356429681181,1.5170612335205078,0.760098438244313,1,193,"Adjectives or descriptive phrases positioned between articles and nouns, typically modifying the noun that follows."
111852,0.9173623323440552,0.6008120179176331,0.7590871751308441,146,66,"Empty spaces or single characters that appear in specific positions within structured text (like JSON, scientific notation, or programming code) or preceding nouns in narrative text."
101934,1.4945452213287354,0.0226814672350883,0.7586133442819118,285,3,"The tilde character (~) used as a typographical element in scientific notation, particularly in chemical formulas and mathematical expressions for proper subscript/superscript formatting."
24132,0.7307106852531433,0.7791569232940674,0.7549338042736053,114,88,"Numbers representing years, monetary amounts, or quantities, and common website text elements like contact phrases, contractions, and connecting words in standard phrases."
