trait,pos_minus_neg_mean,high_pos_low_neg_count,large_diff_count
neurotic,92.325,1198,1198
narrative,95.72916666666667,1199,1199
naive,83.42083333333333,1183,1183
mystical,58.141666666666666,754,752
moderate,90.45416666666667,1169,1166
mischievous,77.87083333333334,1081,1081
misanthropic,89.93333333333334,1130,1130
militant,85.64166666666667,1132,1132
meticulous,27.420833333333334,373,373
methodical,54.9125,835,838
metaphorical,99.40416666666667,1196,1196
mercurial,88.32916666666667,1158,1158
melodramatic,97.74166666666666,1200,1200
melancholic,95.01666666666667,1199,1199
meditative,90.33333333333333,1189,1189
materialist,60.420833333333334,892,889
manipulative,22.691666666666666,291,294
manic,91.97083333333333,1200,1200
literal,13.666666666666666,224,266
libertarian,60.045833333333334,877,871
judgmental,66.83333333333333,862,862
irreverent,88.22916666666667,1193,1193
ironic,96.24166666666666,1195,1195
intuitive,15.570833333333333,180,134
introverted,66.09166666666667,1072,1052
introspective,72.80833333333334,1041,1037
interdisciplinary,28.479166666666668,421,376
inspirational,78.54583333333333,1049,1050
inquisitive,92.9375,1147,1147
innovative,74.07083333333334,1114,1110
individualistic,33.32083333333333,527,473
independent,26.9,437,403
inclusive,33.78333333333333,564,516
impulsive,23.1375,268,268
improvisational,29.583333333333332,623,446
impatient,87.15,1181,1181
idealistic,52.30833333333333,827,817
iconoclastic,61.90833333333333,841,841
humble,55.1125,840,817
humanistic,37.27916666666667,541,530
hostile,93.59583333333333,1195,1195
holistic,28.945833333333333,412,408
historical,89.98333333333333,1171,1171
hedonistic,74.9125,1013,1012
grounded,63.55,1009,1006
gregarious,75.2875,1106,1099
grandiose,85.02083333333333,1113,1113
goofy,95.20833333333333,1195,1195
generous,48.391666666666666,700,698
generalist,33.391666666666666,475,428
futuristic,67.79583333333333,948,939
fundamentalist,57.96666666666667,751,751
formalist,14.079166666666667,141,141
formal,83.04583333333333,1163,1163
forgiving,16.170833333333334,272,294
flirty,89.17916666666666,1174,1174
flippant,91.4375,1196,1196
flexible,59.025,828,823
fatalistic,74.81666666666666,958,958
factual,14.879166666666666,168,168
extroverted,71.5625,1001,999
exploratory,61.8,895,894
experiential,78.81666666666666,1166,1164
existentialist,62.42916666666667,850,842
evil,36.0625,470,470
ethereal,85.75,1108,1108
essentialist,46.0375,623,624
esoteric,82.85,1165,1165
erudite,72.40833333333333,1139,1123
epicurean,64.2,903,900
environmental,88.49583333333334,1117,1117
entertaining,79.2875,1184,1184
enigmatic,93.3125,1199,1199
empathetic,65.67916666666666,1017,1005
emotional,76.7375,1073,1069
eloquent,75.6375,1199,1199
elitist,36.93333333333333,481,482
egalitarian,21.116666666666667,307,290
effusive,97.29583333333333,1199,1199
efficient,56.74583333333333,1152,1102
educational,61.204166666666666,866,868
edgy,59.9375,785,785
eclectic,47.079166666666666,712,702
earnest,74.0625,1003,1003
dramatic,94.1,1200,1200
dominant,40.7625,663,628
dogmatic,48.016666666666666,617,617
divergent,46.57083333333333,669,666
dispassionate,87.26666666666667,1195,1195
disorganized,90.98333333333333,1194,1194
diplomatic,65.4875,897,901
deterministic,97.25,1190,1190
detached,83.75,1154,1154
descriptive,68.03333333333333,1053,1047
deontological,19.479166666666668,284,275
deferential,58.583333333333336,824,833
deconstructionist,54.1,747,736
decisive,70.95,1003,1003
data_driven,77.3625,1031,1026
cynical,82.1375,1045,1045
curious,76.33333333333333,1079,1079
cryptic,92.95,1194,1194
cruel,70.8125,944,945
critical,67.61666666666666,923,906
creative,62.99583333333333,994,973
cosmopolitan,43.80833333333333,684,668
convergent,26.666666666666668,376,343
contrarian,82.53333333333333,1075,1076
contemporary,55.733333333333334,907,890
constructivist,30.216666666666665,463,435
conscientious,85.95416666666667,1179,1179
confrontational,29.075,411,402
confident,65.45,1054,1051
condescending,92.16666666666667,1190,1190
concise,82.2,1199,1199
conciliatory,47.88333333333333,655,676
conceptual,58.75416666666667,947,945
competitive,90.88333333333334,1158,1158
collectivistic,59.09583333333333,850,834
collaborative,68.8,976,971
closure_seeking,64.85416666666667,946,946
circumspect,65.50416666666666,974,971
chill,84.925,1147,1147
charismatic,72.65,1196,1192
chaotic,39.770833333333336,576,576
challenging,65.80416666666666,996,979
cautious,58.36666666666667,885,874
casual,83.25833333333334,1151,1151
calm,93.05833333333334,1191,1191
callous,79.6625,1048,1048
calculating,25.225,495,389
bombastic,95.7875,1200,1200
blunt,50.62083333333333,658,658
bitter,93.5875,1185,1185
big_picture,28.1625,398,381
benevolent,62.74166666666667,839,831
avoidant,8.279166666666667,64,66
assertive,65.42083333333333,934,931
ascetic,64.93333333333334,902,897
artistic,85.10416666666667,1132,1131
arrogant,94.09166666666667,1187,1187
anxious,93.1625,1196,1196
anthropocentric,35.71666666666667,557,568
animated,83.625,1193,1193
analytical,35.020833333333336,493,501
altruistic,66.55416666666666,911,901
agreeable,65.11666666666666,853,851
adventurous,58.8125,888,867
adaptable,17.558333333333334,312,239
acerbic,92.77916666666667,1196,1196
accommodating,34.5375,447,456
accessible,77.44166666666666,1129,1129
abstract,55.09583333333333,899,887
absolutist,32.333333333333336,418,419
